"P_OBJECT_SYST"	"P_TYPE_SYST"	"P_OBJECT_LOCA"	"P_TYPE_LOCA"	"CODE"	"OBJ_DESC"	"TYPE"	"TYPE_DESC"	"OBJ_UNISOL"	"SYSTEM_STATUS"	"SYSTEM_STATUS_DESC"	"USER_STATUS"	"USER_STATUS_DESC"	"CLASS"	"CLASS_DESC"	"DENOMINATOR"	"DENOMINATOR_DESC"	"SPECIFIC_LOCATION"	"INSTALL_DATE"	"MODEL_NO"	"SERIAL_NUMBER"	"MANFACTURER"	"OBJ_OMS_ONLY"	"OBJ_OMS_UNISOL_VERIFIED"	"OBJ_UPDATE_REASON"	"UPDATE_DATE"	"UPDATED_BY"	"OBJ_CODE_DOC"	"OBJ_POSITION"	"UNI_CRITICALITY"	"UNI_CRITICALITY_DESC"	"PRIM_SECE_ID"	"SECE_ID_2"	"SECE_ID_3"	"SECE_ID_4"	"PRIM_SECE_ID_DESC"	"SECE_ID_2_DESC"	"SECE_ID_3_DESC"	"SECE_ID_4_DESC"
"DK.GO.C.075"	"SYST"	"GOC2"	"LOCA"	"GC-JB2-53"	"IS JUNCTIONBOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"GORM C MODUL 2 LOWER S/V"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB2-53"	"400121486"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC4"	"LOCA"	"GC-JB-4-84"	"PA JUNCTIONBOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"PABX JB.TELEPH. SYS. MOD.4L (V/AIR LOCK) - UNDERS	G OM DEN FI"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-4-84"	"400163364"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05501"	"JB FOR LIMIT SWITCHES ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0574"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05501"	"400133959"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC2"	"LOCA"	"GC-JB2-2"	"POWER AND CONTROL J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"VESTSIDE MOD.2 LOWER UDFOR V-102"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB2-2"	"400041411"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC2"	"LOCA"	"GC-JB2-1"	"POWER AND CONTROL J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"VESTSIDE MOD.2 LOWER UDFOR V-102"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB2-1"	"400077998"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05483"	"JB FOR PRESSURE SWITCHES LOW ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0575"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05483"	"400116160"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOCY"	"LOCA"	"GC-JB-14-80"	"COMMUNICATION  J.B."	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PNN"	"UNKNOWN TYPE"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"P.A. ALARM SYS.JB. P/F-B VED BEN 1A"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JB-14-80"	"400047639"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05504"	"JB FOR LIMIT SWITCHES ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0575"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05504"	"400006020"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC4"	"LOCA"	"GC-JBF-751029"	"JUNCTION BOX POWER"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GSR13B"	"WATERMIST 2'ND"	""		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-751029"	"400102402"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05477"	"JUNCTION BOX"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"TME"	"MAINTENANCE ELECTRICAL - VARIUS MINOR"	"MODULE 5 LOWER, SOUTH STAIRS -  FLARE VALVE"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05477"	""	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05488"	"JB FOR PRESS SWITCHES HIGH ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0570"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05488"	"400165675"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC9"	"LOCA"	"GC-JB-9-404B"	"SERVICE WATER"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"GCPMJB"	"GORM C PM JUNCTION BOX CHECK"	"CELLAR DECK, VESTSIDE VED HVAC"		""	""	""	"N"	"N"	"ACC TO WO-GOC-200340035"	12-JUL-16	"MEL_SCHEMA5"	"DK.GO.C.075.GC-JB-9-404B"	"400382295"	""	""	""	""	""	""	""	""	""	""
"DK.GO.C.075"	"SYST"	"GOC5"	"LOCA"	"GC-JBF-05480"	"JB FOR PRESSURE SWITCHES LOW ON CO2 SKID"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PJB"	"JUNCTION BOX"	"HALON2"	"REPL. OF HALON WITH CO2 FLOODING SYSTEMS"	"CO2 SKID A-0572"		""	""	""	"N"	"N"	""		""	"DK.GO.C.075.GC-JBF-05480"	"400189860"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300922"	"PRESSURE TRANSMITTER ZONE II, WELL 9"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300922"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300922"	"400356815"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-301124"	"PRESSURE TRANSMITTER ZONE IV, WELL 11"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-301124"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-301124"	"400356831"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300423"	"PRESSURE TRANSMITTER ZONE III, WELL 4"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300423"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300423"	"400356768"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PIT-300422"	"PRESSURE TRANSMITTER ZONE II, WELL 4"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PIT-300422"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPIT"	"PRESS.INDICATOR TRANSMITTER"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"Y"	"MEL-TSY-2"	21-OCT-15	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PIT-300422"	"400356767"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PI-300626"	"PRESSURE INDICATOR ZONE VI, WELL 6"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPI"	"PRESSURE INDICATOR"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PI-300626"	"400356990"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PRV-300301"	"RELIEF VALVE - WHCP TSB-FP-3140"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PRV-300301"	"CRTE"	"Created"	"ALTS APPR NOPM"	""	"ZISO_FLOC_AVPR"	"PRESSURE RELIEF VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1"		""	""	""	"N"	"Y"	"WO-TSB-200471194"	27-FEB-17	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PRV-300301"	"400351654"	"I"	"Important"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-PRV-300401"	"RELIEF VALVE - WHCP TSB-FP-3140"	"FLOC"	"Functional Location"	"TS /B /07/TSB-PRV-300401"	"CRTE"	"Created"	"ALTS APPR NOPM"	""	"ZISO_FLOC_AVPR"	"PRESSURE RELIEF VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1"		""	""	""	"N"	"Y"	"WO-TSB-200471194"	27-FEB-17	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-PRV-300401"	"400351655"	"I"	"Important"	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301504"	"TSB-XCV-301504 SOV"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 2"		""	""	""	"N"	"N"	"PU-TSB-1"	23-SEP-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301504"	"400351627"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301605"	"TSB-XCV-301605 SOV"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 2"		""	""	""	"N"	"N"	"PU-TSB-1"	23-SEP-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301605"	"400351645"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301404"	"TSB-XCV-301404 SOV"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 2"		""	""	""	"N"	"N"	"PU-TSB-1"	23-SEP-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301404"	"400351626"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-301022"	"SOLENOID VALVE ZONE II, WELL 10"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-301022"	"400356923"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-300824"	"SOLENOID VALVE ZONE IV, WELL 8"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3145"		""	""	""	"N"	"N"	"PU-TSB-1"	22-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-300824"	"400356907"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-300129"	"SOV C VALVE CLOSE, WELL 1"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"N"	"PU-TSB-1"	21-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-300129"	"400356849"	""	""	""	""	""	""	""	""	""	""
"DK.TS.B.030"	"SYST"	"TSBA"	"LOCA"	"TSB-SOV-300324"	"SOLENOID VALVE ZONE IV, WELL 3"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PSOV"	"SOLENOID VALVE"	"TSDTSB"	"TYRA SOUTH EAST B"	"LEVEL 1, INFORCE PANEL, A-3144"		""	""	""	"N"	"N"	"PU-TSB-1"	21-OCT-14	"MEL_SCHEMA5"	"DK.TS.B.030.TSB-SOV-300324"	"400356862"	""	""	""	""	""	""	""	""	""	""
"DK.ON.S.046"	"SYST"	"ONSH"	"LOCA"	"YYY-V-206"	"METHANOL"	"FLOC"	"Functional Location"	""	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PT"	"TANK"	""	""	"GORM C/TYRA/SKJOLD/ESBJERG"		""	""	""	"N"	"N"	"ADDED DK.ON.S.046"	02-APR-21	"KLP006"	"DK.ON.S.046.YYY-V-206"	"400119379"	""	""	""	""	""	""	""	""	""	""
"DK.HB.B.030"	"SYST"	"HBBB"	"LOCA"	"HBBB-PIT-300712"	"PRESSURE INDICATOR TRANSMITTER"	"FLOC"	"Functional Location"	"HB /B /10/HBBB-PIT-300712"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PPT"	"PRESSURE TRANSMITTER"	"HBBWEL"	"HBB NEW WELLHEAD MODULE"	"FLOWLINE X-MAS TREE WELL 7"		""	""	""	"N"	"Y"	""		""	"DK.HB.B.030.HBBB-PIT-300712"	"400157962"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.HB.B.030"	"SYST"	"HBBB"	"LOCA"	"HBBB-PIT-300810"	"PRESSURE INDICATOR TRANSMITTER"	"FLOC"	"Functional Location"	"HB /B /55/HBBB-PIT-300810"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PTES"	"TRANSMITTER FOR ESD SYSTEM"	"HBBWEL"	"HBB NEW WELLHEAD MODULE"	"FLOWLINE X-MAS TREE WELL 8"		""	""	""	"N"	"Y"	"DU-HBB-409"	07-DEC-16	"MEL_SCHEMA5"	"DK.HB.B.030.HBBB-PIT-300810"	"400144702"	"V"	"Vital"	""	"C4.1"	""	""	""	"ESD System including emergency Push Buttons"	""	""
"DK.HB.B.030"	"SYST"	"HBBB"	"LOCA"	"HBBB-TIT-300708"	"TEMPERATUR INDICATOR TRANSMITTER"	"FLOC"	"Functional Location"	"HB /B /10/HBBB-TIT-300708"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PTPC"	"TRANSMIT. FOR PROCESS CONT SYS"	"HBBWEL"	"HBB NEW WELLHEAD MODULE"	"UPSTREAM CHOKE WELL 7"		""	""	""	"N"	"Y"	""		""	"DK.HB.B.030.HBBB-TIT-300708"	"400122489"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.HB.B.030"	"SYST"	"HBBB"	"LOCA"	"HBBB-WCV-300603"	"WING CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /B /55/HBBB-WCV-300603"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PXCV"	"UNCLASSIFIED VALVE"	"HBBWEL"	"HBB NEW WELLHEAD MODULE"	""		""	""	""	"N"	"Y"	""		""	"DK.HB.B.030.HBBB-WCV-300603"	""	"V"	"Vital"	""	"C6.2"	""	""	""	"Well-barrier performance: primary containment"	""	""
"DK.HB.B.030"	"SYST"	"HBBB"	"LOCA"	"HBBB-TIT-301008"	"TEMPERATUR INDICATOR TRANSMITTER"	"FLOC"	"Functional Location"	"HB /B /10/HBBB-TIT-301008"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PTPC"	"TRANSMIT. FOR PROCESS CONT SYS"	"HBBWEL"	"HBB NEW WELLHEAD MODULE"	"UPSTREAM CHOKE WELL 10"		""	""	""	"N"	"Y"	""		""	"DK.HB.B.030.HBBB-TIT-301008"	"400100767"	"V"	"Vital"	""	""	""	""	""	""	""	""
"DK.HB.D.010"	"SYST"	"HBDB"	"LOCA"	"HBDB-XCV-105055"	"ACTUATED VALVE"	"FLOC"	"Functional Location"	"HB /D /85/HBDB-XCV-105055"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PXCV"	"UNCLASSIFIED VALVE"	""	""	"POTABLE WATER MAKER"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.010.HBDB-XCV-105055"	""	"I"	"Important"	""	""	""	""	""	""	""	""
"DK.HB.D.053"	"SYST"	"HBDC"	"LOCA"	"HBDC-HCV-535501A-I"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /D /76/HBDC-HCV-535501A-I"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PHCV"	"HAND CONTROL VALVE"	""	""	"HP DISCHARGE COOLER E-4453"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.053.HBDC-HCV-535501A-I"	""	"S"	"Secondary"	""	""	""	""	""	""	""	""
"DK.HB.D.053"	"SYST"	"HBDC"	"LOCA"	"HBDC-HCV-535501B-I"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /D /76/HBDC-HCV-535501B-I"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PHCV"	"HAND CONTROL VALVE"	""	""	"HP DISCHARGE COOLER E-4453"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.053.HBDC-HCV-535501B-I"	""	"S"	"Secondary"	""	""	""	""	""	""	""	""
"DK.HB.D.053"	"SYST"	"HBDC"	"LOCA"	"HBDC-HCV-535509-I"	"HAND CONTROL VALVE"	"FLOC"	"Functional Location"	"HB /D /76/HBDC-HCV-535509-I"	"CRTE"	"Created"	"APPR"	"Approved"	"ZMOG_FLOC_PHCV"	"HAND CONTROL VALVE"	""	""	"HP DISCHARGE COOLER E-4453"		""	""	""	"N"	"Y"	""		""	"DK.HB.D.053.HBDC-HCV-535509-I"	""	"S"	"Secondary"	""	""	""	""	""	""	""	""
