"FL_CODE"	"FL_STATUS"	"FL_USER_STATUS"	"EQ_CODE"	"EQ_STATUS"	"EQ_USER_STATUS"
"GOFB-XCV-50099"	"CRTE"	"APPR"	"400013321"	"INST"	""
"GOFB-PI-50112"	"CRTE"	"APPR NOPM"	"400170906"	"INST"	""
"REAY-T-5001"	"INAC"	"APPR"	"400019187"	"INST"	""
"REAY-SD-11101"	"INAC"	"APPR"	"400067933"	"INST"	""
"REA-XS-02267"	"INAC"	"APPR"	""	""	""
"REAY-PB-31043"	"INAC"	"APPR"	"400083579"	"INST"	""
"REAY-CP-1702"	"INAC"	"APPR"	"400135967"	"INST"	""
"REAY-PRV-31061"	"INAC"	"APPR"	"400023734"	"INST"	""
"REAY-ESDP-3104"	"INAC"	"APPR"	"400128601"	"INST"	""
"REAY-XS-15022"	"INAC"	"APPR"	"400110794"	"INST"	""
"REAY-PB-31023"	"INAC"	"APPR"	"400128963"	"INST"	""
"REAY-PB-31013"	"INAC"	"APPR"	"400000866"	"INST"	""
"REAY-ESDP-3103"	"INAC"	"APPR"	"400027348"	"INST"	""
"REAY-XE-1502"	"INAC"	"APPR"	"400077083"	"INST"	""
"REAY-HS-17022"	"INAC"	"APPR NOPM"	"400083333"	"INST"	""
"REAY-JB-75004"	"INAC"	"APPR"	"400128855"	"INST"	""
"REAY-DT-1402"	"INAC"	"APPR"	"400088252"	"INST"	""
"HDBG-LNJB-1805-0013-L1-A"	"CRTE"	"APPR"	"400123957"	"INST"	""
"HDBG-LNJB-1805-0012-L3-B"	"CRTE"	"APPR"	"400002128"	"INST"	""
"HDBJ-SOJB-1806-0022-L1-A"	"CRTE"	"APPR"	"400084218"	"INST"	""
"HDBC-HTJB-1850-2005-L2-A"	"CRTE"	"APPR"	"400009145"	"INST"	""
"HDBM-HTJB-1850-2015-L3A1"	"CRTE"	"APPR"	"400080814"	"INST"	""
"DB-LG-17742"	"CRTE"	"APPR"	"400467274"	"INST"	""
"GOFA-PB-5002"	"CRTE"	"APPR"	"400057290"	"INST"	""
"GOFB-HCV-50396"	"CRTE"	"APPR"	""	""	""
"GOFA-LT-50006"	"CRTE"	"APPR"	"400059265"	"INST"	""
"GOFA-PT-50246"	"CRTE"	"APPR"	"400174760"	"INST"	""
"DB-HD-10132"	"CRTE"	"RSEV"	""	""	""
"DB-HD-10004"	"CRTE"	"APPR"	"400467337"	"INST"	""
"DB-HD-10135"	"CRTE"	"RSEV"	""	""	""
"DB-HD-10130"	"CRTE"	"RSEV"	""	""	""
"DB-HD-10134"	"CRTE"	"RSEV"	""	""	""
"GOFB-LCV-50059"	"CRTE"	"APPR"	"400142955"	"INST"	""
"GOFB-FO-50067"	"CRTE"	"APPR"	"400083044"	"INST"	""
"GE-PI-1538"	"CRTE"	"APPR"	"400053447"	"INST"	""
"DB-ISE-J-1A"	"CRTE"	"APPR"	""	""	""
"HDCZ-LP-1801-S40-L-025"	"CRTE"	"APPR"	""	""	""
"DB-XSL-11103"	"CRTE"	"APPR"	""	""	""
"DB-XSL-11104"	"CRTE"	"APPR"	""	""	""
"GOFA-S-5026"	"CRTE"	"APPR"	""	""	""
"DB-DP-1823"	"CRTE"	"APPR"	"400463928"	"INST"	""
"DB-FGAA-10601"	"CRTE"	"APPR"	"400464295"	"INST"	""
"DB-HR-11501"	"CRTE"	"APPR"	""	""	""
"GOFA-PM-5004"	"CRTE"	"APPR"	"400357226"	"INST"	""
"WAD-FID-64456"	"DLFL"	"APPR"	""	""	""
"WAA-FID-64401"	"DLFL"	"APPR"	""	""	""
"WC-FID-64459"	"DLFL"	"APPR"	""	""	""
"WAC-FID-64436"	"DLFL"	"APPR"	""	""	""
"WC-FID-64460"	"DLFL"	"APPR"	""	""	""
"WEA-FID-64463"	"DLFL"	"APPR"	""	""	""
"HBAA-AIJB-1073"	"CRTE"	"APPR"	"400041562"	"INST"	""
"WAC-FID-64439"	"DLFL"	"APPR"	""	""	""
"WAC-FID-64438"	"DLFL"	"APPR"	""	""	""
"VAA-FID-64002"	"CRTE"	"APPR"	""	""	""
"HDCZ-LP-1801-T40-L-015"	"CRTE"	"APPR"	"400061862"	"INST"	""
"HDCZ-LP-1802-S22-L-003"	"CRTE"	"APPR"	"400122637"	"INST"	""
"HBAA-DIJB-1040"	"CRTE"	"APPR"	"400113883"	"INST"	""
"HDCZ-LP-1801-S40-L-011"	"CRTE"	"APPR"	"400091917"	"INST"	""
"HBAA-AIJB-1086"	"CRTE"	"APPR"	"400129729"	"INST"	""
"HBAA-HTJB-1801-7360-L1L"	"CRTE"	"APPR"	"400044947"	"INST"	""
"HBAA-DIJB-1079"	"CRTE"	"APPR"	"400006306"	"INST"	""
"HDCZ-LP-1802-R22-L-007"	"CRTE"	"APPR"	"400378579"	"INST"	""
"HBAA-JB-30176"	"CRTE"	"APPR"	""	""	""
"HBAA-HTJB-7301-7302-L2-F"	"CRTE"	"APPR"	"400088477"	"INST"	""
"HDCZ-LP-1801-S40-L-010"	"CRTE"	"APPR"	"400023718"	"INST"	""
"HBAA-FAJB-3043"	"CRTE"	"APPR"	"400107082"	"INST"	""
"HBAA-HTJB-1804-7301-A"	"CRTE"	"APPR NOPM"	"400177363"	"INST"	""
"HDCZ-LP-1801-S40-L-024"	"CRTE"	"APPR"	""	""	""
"HDCZ-LP-1801-T40-L-030"	"CRTE"	"APPR"	"400162281"	"INST"	""
"HBAA-HTJB-7301-7302-L2-C"	"CRTE"	"APPR"	"400125644"	"INST"	""
"HDCZ-LP-1801-R40-L-017"	"CRTE"	"APPR"	"400053345"	"INST"	""
"HBAA-HTJB-7301-7307-L1-B"	"CRTE"	"APPR"	"400059725"	"INST"	""
"HBAA-DIJB-1082"	"CRTE"	"APPR"	"400156705"	"INST"	""
"GOFA-PIT-50275B"	"CRTE"	"RSEV"	""	""	""
"GOFA-HCV-50088"	"CRTE"	"RSEV"	""	""	""
"DB-XS-01862"	"CRTE"	"APPR NOPM"	""	""	""
"HBDC-SOV-435001"	"CRTE"	"APPR"	"400085862"	"INST"	""
"HBDC-HCV-435355"	"CRTE"	"APPR"	"400476456"	"INST"	""
"HDAC-HCV-36057-U"	"CRTE"	"APPR NOPM"	""	""	""
"HBDC-HCV-435357"	"CRTE"	"APPR"	"400476463"	"INST"	""
"HBAA-JB-3900-A"	"CRTE"	"APPR"	""	""	""
"HBAA-WY-39011"	"CRTE"	"APPR"	""	""	""
"HBDC-PDIT-445302"	"CRTE"	"APPR"	"400213673"	"INST"	""
"HBBB-HCV-29321-R"	"CRTE"	"RSEV"	""	""	""
"HDAD-HCV-33029-R"	"CRTE"	"APPR"	""	""	""
"HBAA-CIP-39036"	"CRTE"	"APPR"	""	""	""
"HBAA-CIP-39037"	"CRTE"	"APPR"	""	""	""
"HBAA-FCV-39106"	"CRTE"	"RSEV"	""	""	""
"DFCI-HCV-34054"	"DLFL"	"RSEV"	""	""	""
"HBBB-A-3903"	"CRTE"	"RSEV"	""	""	""
"HBAA-FCV-39104"	"CRTE"	"RSEV"	""	""	""
"HDBD-HCV-030098"	"CRTE"	"APPR NOPM"	""	""	""
"HBAA-FC-39046"	"CRTE"	"APPR"	"400119394"	"INST"	""
"HBAA-T-3904A"	"CRTE"	"APPR"	""	""	""
"HBAA-FE-39111"	"CRTE"	"APPR"	"400203346"	"INST"	""
"HWAA-HCV-47016"	"CRTE"	"APPR"	"400151597"	"INST"	""
"HDCA-HCV-41001-R"	"CRTE"	"APPR"	""	""	""
"HBAA-WT-39042D"	"CRTE"	"APPR"	"400063969"	"INST"	""
"HWAA-HCV-43047"	"CRTE"	"APPR NOPM"	"400105298"	"INST"	""
"HBDC-HCV-435390"	"CRTE"	"APPR"	"400476493"	"INST"	""
"HBDC-HCV-435285"	"CRTE"	"APPR"	"400476522"	"INST"	""
"HBAA-PDI-394413"	"CRTE"	"APPR NOPM"	"400380104"	"INST"	""
"HBDC-HCV-435389"	"CRTE"	"APPR"	"400476492"	"INST"	""
"HBAA-PIT-394412"	"CRTE"	"APPR"	"400380207"	"INST"	""
"HBDC-HCV-435287"	"CRTE"	"APPR"	"400476528"	"INST"	""
"HBDC-HCV-435289"	"CRTE"	"APPR"	"400476532"	"INST"	""
"HBAA-PBS-39442"	"CRTE"	"APPR"	"400380027"	"INST"	""
"HBDC-HCV-400066"	"CRTE"	"APPR NOPM"	"400365102"	"INST"	""
"HBDC-TI-435332"	"CRTE"	"APPR"	"400139161"	"INST"	""
"HBDC-HCV-435294"	"CRTE"	"APPR"	"400476538"	"INST"	""
"GOFB-SOV-30514B"	"CRTE"	"APPR"	"400473671"	"INST"	""
"HWAA-HOSU-61253"	"CRTE"	"APPR"	"400472287"	"INST"	""
"HWAA-HOSU-61212"	"CRTE"	"APPR"	"400472246"	"INST"	""
"HWAA-HOSU-61210"	"CRTE"	"APPR"	"400472244"	"INST"	""
"HBDC-HCV-435295"	"CRTE"	"APPR"	"400476539"	"INST"	""
"HWAA-HCV-42573-D"	"CRTE"	"APPR"	"400159393"	"INST"	""
"HBDC-HCV-435331-D"	"CRTE"	"APPR"	"400010687"	"INST"	""
"HBDA-HTJB-1873-0050-L3-1"	"DLFL"	"APPR"	""	""	""
"HBDC-PDT-435365"	"CRTE"	"APPR"	"400476476"	"INST"	""
"HWAA-HOSU-61269"	"CRTE"	"APPR"	"400472303"	"INST"	""
"HWAA-HOSU-61198"	"CRTE"	"APPR"	"400472232"	"INST"	""
"HDAB-HCV-592004"	"CRTE"	"ALTS APPR NOPM"	"400450037"	"INST"	""
"HWAA-HOSU-61271"	"CRTE"	"APPR"	"400472305"	"INST"	""
"DFCC-ET-14314"	"CRTE"	"APPR"	"400091609"	"INST"	""
"DFCC-ET-14-04-01"	"CRTE"	"APPR"	"400127852"	"INST"	""
"HCAA-PIT-300501"	"CRTE"	"APPR"	"400020630"	"INST"	""
"HBAA-PT-30151"	"CRTE"	"APPR"	"400058387"	"INST"	""
"HCAA-PIT-300201"	"CRTE"	"APPR"	"400057292"	"INST"	""
"HBBB-PT-300201"	"CRTE"	"APPR"	"400172758"	"INST"	""
"HBAA-PT-30281"	"CRTE"	"APPR"	"400072954"	"INST"	""
"DFCI-VC-1201H"	"CRTE"	"APPR"	"400082530"	"INST"	""
"DFCC-B-1843"	"CRTE"	"APPR"	"400476172"	"INST"	""
"DFCI-DT-21157"	"DLFL"	"APPR NOPM"	""	""	""
"DFCC-JB-75001"	"CRTE"	"APPR"	"400043327"	"INST"	""
"HDAB-HCV-303924"	"CRTE"	"APPR NOPM"	"400476152"	"INST"	""
"HCAA-PIT-301001"	"CRTE"	"APPR"	"400155537"	"INST"	""
"DFCC-MC-14-15"	"CRTE"	"APPR"	"400037101"	"INST"	""
"DFFA-ZSC-354125"	"CRTE"	"ALTS APPR"	"400147914"	"INST"	""
"DFCC-M-13032"	"CRTE"	"APPR"	"400028191"	"INST"	""
"DFCI-SL-0237O"	"CRTE"	"APPR"	""	""	""
"DFCC-MC-14-12-01"	"CRTE"	"APPR"	"400064699"	"INST"	""
"DFCC-ET-14-03-02"	"CRTE"	"APPR"	"400118076"	"INST"	""
"DFCI-Y-14193B"	"CRTE"	"APPR"	"400149535"	"INST"	""
"DFFA-ZSC-353519"	"CRTE"	"APPR"	"400069033"	"INST"	""
"DFCM-PSV-10380"	"CRTE"	"APPR"	"400151942"	"INST"	""
"GEB-N-18001-07-09"	"CRTE"	"APPR"	"400184760"	"INST"	""
"GC-MCC1-D8-01"	"CRTE"	"APPR"	"400065922"	"INST"	""
"WAB-N-7106-L9_11"	"DLFL"	"APPR"	""	""	""
"DFCM-F-10274"	"CRTE"	"APPR"	"400006637"	"INST"	""
"DFCM-T-1031"	"CRTE"	"APPR"	"400083086"	"INST"	""
"DFCC-AL-1292E"	"CRTE"	"APPR"	"400033101"	"INST"	""
"DFCM-P-1034"	"CRTE"	"APPR"	"400154762"	"INST"	""
"DFCC-FEJB-12036"	"CRTE"	"APPR"	"400053399"	"INST"	""
"DFCM-PM-1037"	"CRTE"	"APPR"	"400063750"	"INST"	""
"DFCM-PS-10272"	"CRTE"	"APPR"	"400035975"	"INST"	""
"DFCM-A-1028"	"CRTE"	"APPR"	"400145412"	"INST"	""
"DFCC-HE-12031A"	"CRTE"	"APPR NOPM"	"400098073"	"INST"	""
"DFCM-SOV-10366"	"CRTE"	"APPR"	"400184983"	"INST"	""
"DFCC-FD-12832"	"CRTE"	"APPR"	"400159756"	"INST"	""
"DFFA-PIT-350202"	"CRTE"	"ALTS APPR"	"400167699"	"INST"	""
"DFFA-PIT-353421"	"CRTE"	"APPR"	"400124488"	"INST"	""
"DFFA-PIT-353130"	"CRTE"	"APPR"	"400079077"	"INST"	""
"DFFA-FT-3520"	"CRTE"	"APPR"	"400072775"	"INST"	""
"DFFA-XT-353024A"	"CRTE"	"APPR"	"400171019"	"INST"	""
"DFFA-TE-353027"	"CRTE"	"APPR"	"400111191"	"INST"	""
"DFFA-TE-353136A"	"CRTE"	"APPR"	"400178177"	"INST"	""
"DFFA-SE-353430"	"CRTE"	"APPR"	"400107596"	"INST"	""
"DFCC-AL-1293A"	"CRTE"	"APPR"	"400071420"	"INST"	""
"DFCM-CV-10663"	"CRTE"	"APPR"	"400053047"	"INST"	""
"DFCM-CV-10567"	"CRTE"	"APPR"	"400024043"	"INST"	""
"DFCM-CV-10561"	"CRTE"	"APPR"	"400115971"	"INST"	""
"DFCC-L-1203A"	"CRTE"	"APPR"	"400076328"	"INST"	""
"HBDB-GD-0181126"	"CRTE"	"APPR"	"400473023"	"INST"	""
"DFFA-HOSU-3502"	"CRTE"	"APPR"	"400465098"	"INST"	""
"DFFA-HOSU-3512"	"CRTE"	"APPR"	"400465108"	"INST"	""
"DFFA-HOSU-3501"	"CRTE"	"APPR"	"400465097"	"INST"	""
"DFFA-HOSU-3509"	"CRTE"	"APPR"	"400465105"	"INST"	""
"DFFA-HOSU-3507"	"CRTE"	"APPR"	"400465103"	"INST"	""
"DFFA-HOSU-3524"	"CRTE"	"APPR"	"400465120"	"INST"	""
"DK.KR.A.300"	"CRTE"	""	""	""	""
"DK.SK.A.300"	"CRTE"	""	""	""	""
"DFCI-GD-15811"	"CRTE"	"APPR"	"400477432"	"INST"	""
"HDAF-ZSO-430104"	"CRTE"	"RSEV"	""	""	""
"DK.TE.B.300"	"DLFL"	""	""	""	""
"DK.SV.A.300"	"CRTE"	""	""	""	""
"EAF-LI-67241A"	"DLFL"	"ALTS APPR"	""	""	""
"DK.TW.B.300"	"DLFL"	""	""	""	""
"GFN40"	"CRTE"	""	""	""	""
"DK.VB.A.300"	"CRTE"	""	""	""	""
"DFFA-FT-354163"	"CRTE"	"APPR"	"400091702"	"INST"	""
"GC-MCC2-T7-01"	"CRTE"	"APPR"	"400013867"	"INST"	""
"GFN41"	"CRTE"	""	""	""	""
"GFN47"	"CRTE"	""	""	""	""
"GOFA-CP-35076"	"CRTE"	"APPR"	""	""	""
"HBAA-LE-1801-1827-L2-W"	"CRTE"	"APPR"	"400158846"	"INST"	""
"HBAA-LE-1801-1826-L1-A"	"CRTE"	"APPR"	"400105490"	"INST"	""
"HBAA-LE-1803-1813-L1-C"	"CRTE"	"APPR"	"400116455"	"INST"	""
"HBAA-LE-1801-1827-L2-N"	"CRTE"	"APPR"	"400117648"	"INST"	""
"GFN54"	"CRTE"	""	""	""	""
"HBAA-LN-1801-1823-L1-B"	"CRTE"	"APPR"	"400135745"	"INST"	""
"HBAA-LN-1801-1820-L1-O"	"CRTE"	"APPR"	"400154021"	"INST"	""
"GOFA-ITS-140003"	"CRTE"	"APPR NOPM"	""	""	""
"HBA06"	"CRTE"	""	""	""	""
"HBAA-LE-1801-1828-L3-E"	"CRTE"	"APPR"	"400044927"	"INST"	""
"HBAA-LE-1801-1827-L2-I"	"CRTE"	"APPR"	"400024045"	"INST"	""
"EAG-LB-7207-T1-L117"	"DLFL"	"APPR"	""	""	""
"WAA-CT-82002-1"	"DLFL"	"APPR"	""	""	""
"VAB-HTJB-73037"	"CRTE"	"APPR"	"400470294"	"INST"	""
"VAB-ES-73036"	"CRTE"	"APPR"	"400470296"	"INST"	""
"DFFA-ZSC-354144"	"CRTE"	"ALTS APPR"	"400477185"	"INST"	""
"GFN55"	"CRTE"	""	""	""	""
"HBA04"	"CRTE"	""	""	""	""
"GOFA-CP-35077"	"CRTE"	"APPR"	""	""	""
"GC-L-ELP-M7-8"	"CRTE"	"APPR"	"400477187"	"INST"	""
"HBA12"	"CRTE"	""	""	""	""
"HDA31"	"CRTE"	""	""	""	""
"HBAA-HCV-35240"	"CRTE"	"APPR"	"400477189"	"INST"	""
"HBA14"	"CRTE"	""	""	""	""
"HBCA-N-1810-7-1"	"CRTE"	"APPR"	"400061219"	"INST"	""
"HBAA-PD-39416"	"CRTE"	"APPR"	"400477190"	"INST"	""
"HBA15"	"CRTE"	""	""	""	""
"HBA16"	"CRTE"	""	""	""	""
"HDA34"	"CRTE"	""	""	""	""
"GOFC-XT-351000"	"CRTE"	"APPR NOPM"	""	""	""
"HBAA-LN-1801-1821-L2-T"	"CRTE"	"APPR"	"400025793"	"INST"	""
"HBA17"	"CRTE"	""	""	""	""
"HBAA-LN-1801-1821-L2-J"	"CRTE"	"APPR"	"400467165"	"INST"	""
"GA-CVA-1204J"	"CRTE"	"APPR"	"400476158"	"INST"	""
"DFFA-ZSC-354166"	"CRTE"	"ALTS APPR"	"400382651"	"INST"	""
"DFFA-SOV-354104"	"CRTE"	"ALTS APPR"	"400387455"	"INST"	""
"DFFA-SOV-354141"	"CRTE"	"ALTS APPR"	"400212833"	"INST"	""
"SA-HCV-54782-D"	"DLFL"	"ALTS RSEV"	""	""	""
"DFFA-ZSC-354108"	"CRTE"	"ALTS APPR"	"400020064"	"INST"	""
"DFFA-SOV-120154"	"CRTE"	"ALTS APPR"	"400075217"	"INST"	""
"DFFA-SOV-353517"	"CRTE"	"APPR"	"400091679"	"INST"	""
"DFFA-LIT-570005"	"CRTE"	"APPR"	"400379391"	"INST"	""
"DFFA-TE-353229"	"CRTE"	"APPR"	"400018813"	"INST"	""
"DFFA-XE-353034B"	"CRTE"	"APPR"	"400117212"	"INST"	""
"DFFA-ZSC-353520"	"CRTE"	"APPR"	"400127258"	"INST"	""
"EC-HCV-10747"	"DLFL"	"APPR NOPM"	""	""	""
"HDCA-RI-664312"	"CRTE"	"APPR"	""	""	""
"HDAA-RI-664304"	"CRTE"	"APPR"	""	""	""
"HDAF-PB-34061"	"CRTE"	"APPR"	"400470224"	"INST"	""
"EB-ZSC-0603"	"DLFL"	"APPR"	""	""	""
"EAF-LB-7206-S4-L119"	"DLFL"	"APPR"	""	""	""
"GOFC-PSV-35955A"	"DLFL"	"APPR"	""	""	""
"SA-PT-30175"	"CRTE"	"APPR"	"400184924"	"INST"	""
"HBAA-HCV-301120"	"CRTE"	"APPR NOPM"	""	""	""
"GOFC-HCV-500104"	"CRTE"	"APPR NOPM"	""	""	""
"GOFC-HCV-500105"	"CRTE"	"APPR NOPM"	""	""	""
"GOFC-HCV-500106"	"CRTE"	"APPR NOPM"	""	""	""
"GOFB-HCV-500109"	"CRTE"	"APPR NOPM"	""	""	""
"GOFB-HCV-500110"	"CRTE"	"APPR NOPM"	""	""	""
"HWAA-PT-34120"	"CRTE"	"APPR"	"400008207"	"INST"	""
"EC-FIT-10735"	"DLFL"	"APPR"	""	""	""
"EC-PI-10748"	"DLFL"	"APPR NOPM"	""	""	""
"EC-HCV-10737"	"DLFL"	"APPR NOPM"	""	""	""
"DFFA-PCV-530199A"	"CRTE"	"APPR"	"400063850"	"INST"	""
"DFFA-ZSC-354106"	"CRTE"	"ALTS APPR"	"400168971"	"INST"	""
"EC-PIT-10732"	"DLFL"	"APPR"	""	""	""
"DFFA-LIT-353112"	"CRTE"	"APPR"	"400079859"	"INST"	""
"EC-PV-10730"	"DLFL"	"APPR NOPM"	""	""	""
"EC-PI-10764"	"DLFL"	"APPR"	""	""	""
"EC-ZSO-10730"	"DLFL"	"APPR"	""	""	""
"DFFB-TIT-570073"	"CRTE"	"APPR"	"400168731"	"INST"	""
"EC-ZSC-0706"	"DLFL"	"APPR"	""	""	""
"EC-PIT-0516"	"DLFL"	"APPR"	""	""	""
"VAB-TIT-290224"	"CRTE"	"APPR"	"500000976"	"INST"	""
"DFFA-TE-353428C"	"CRTE"	"APPR"	"400100161"	"INST"	""
"DFFA-TE-353428D"	"CRTE"	"APPR"	"400184309"	"INST"	""
"DFFA-LCV-570214"	"CRTE"	"APPR"	"400163824"	"INST"	""
"VAB-TIT-290624"	"CRTE"	"APPR"	"500000980"	"INST"	""
"DFFA-PIT-353242"	"CRTE"	"APPR"	"400011176"	"INST"	""
"VAB-HCV-290734-I3"	"CRTE"	"APPR NOPM"	""	""	""
"HWAA-DOR-610079"	"CRTE"	"APPR"	"400472031"	"INST"	""
"HWAA-DIN-610073"	"CRTE"	"APPR"	"400472105"	"INST"	""
"HWAA-DIN-610077"	"CRTE"	"APPR"	"400472109"	"INST"	""
"HWAA-FIL-61109"	"CRTE"	"APPR"	"400471816"	"INST"	""
"HWAA-DOR-610078"	"CRTE"	"APPR"	"400471853"	"INST"	""
"HWAA-FIL-61103"	"CRTE"	"APPR"	"400471789"	"INST"	""
"HBAA-XY-0376"	"CRTE"	"APPR NOPM"	"400475282"	"INST"	""
"SA-HCV-29057"	"CRTE"	"APPR"	""	""	""
"DFFA-LN-1802-8914-L2A"	"CRTE"	"APPR"	"400472510"	"INST"	""
"DFCM-IL-0707"	"DLFL"	"APPR"	""	""	""
"DFCI-IL-0712"	"DLFL"	"APPR"	""	""	""
"DFCM-HCV-40845"	"CRTE"	"APPR NOPM"	"400473768"	"INST"	""
"DFGA-PRV-359062"	"CRTE"	"RSEV"	""	""	""
"DD-HCV-38028-D"	"CRTE"	"APPR NOPM"	""	""	""
"HBAA-FP-3041"	"CRTE"	"APPR"	"400171324"	"INST"	""
"HWAA-LT-50025"	"CRTE"	"APPR"	"500001036"	"INST"	""
"HWAA-P-5023"	"CRTE"	"APPR"	"400164823"	"INST"	""
"EAK-FT-7728"	"DLFL"	"APPR"	""	""	""
"HWAA-LG-50007"	"CRTE"	"APPR"	"400040586"	"INST"	""
"EAK-FY-52506"	"DLFL"	"APPR"	""	""	""
"EC-PIT-10762"	"DLFL"	"APPR"	""	""	""
"EAK-HCV-77129A"	"DLFL"	"APPR"	""	""	""
"DFBA-GD-12301"	"CRTE"	"APPR"	"400471448"	"INST"	""
"EAK-FY-52606"	"DLFL"	"APPR"	""	""	""
"HWAA-P-5010A"	"CRTE"	"APPR"	"400121146"	"INST"	""
"EAK-ME-7726"	"DLFL"	"APPR"	""	""	""
"EAK-LSL-77127A"	"DLFL"	"APPR"	""	""	""
"EC-WSV-0503"	"DLFL"	"APPR"	""	""	""
"EC-XCV-10530"	"DLFL"	"APPR"	""	""	""
"HWAA-P-5043"	"CRTE"	"APPR"	"400159606"	"INST"	""
"EC-ZSC-10530"	"DLFL"	"APPR"	""	""	""
"EAK-FT-7755"	"DLFL"	"APPR"	""	""	""
"EAK-HCV-77128A"	"DLFL"	"APPR"	""	""	""
"EAK-LT-77407"	"DLFL"	"APPR"	""	""	""
"HWAA-FE-50122"	"CRTE"	"APPR"	""	""	""
"EAK-LG-77408A"	"DLFL"	"APPR"	""	""	""
"EAK-FT-7701"	"DLFL"	"APPR"	""	""	""
"EAK-FT-7756"	"DLFL"	"APPR"	""	""	""
"HWAA-P-5024"	"CRTE"	"APPR"	"400010213"	"INST"	""
"GOFC-ZSO-50152"	"CRTE"	"RSEV"	""	""	""
"HWAA-PDY-50183"	"CRTE"	"APPR"	""	""	""
"HWAA-LIT-50042"	"CRTE"	"APPR"	"400205055"	"INST"	""
"GOFC-PM-5019"	"CRTE"	"RSEV"	""	""	""
"GOFC-XCV-50324"	"CRTE"	"APPR"	"400032628"	"INST"	""
"EAK-PB-45113"	"DLFL"	"APPR"	""	""	""
"HWAA-LY-50155"	"CRTE"	"RSEV"	""	""	""
"HWAA-PDI-50125"	"DLFL"	"APPR"	""	""	""
"GOFC-TI-50150"	"CRTE"	"RSEV"	""	""	""
"EAK-HCV-778109"	"DLFL"	"APPR"	""	""	""
"GOFC-PSE-50459A"	"CRTE"	"APPR"	"400456808"	"INST"	""
"HBAA-LN-1801-1825-L3-K"	"CRTE"	"APPR"	"400035234"	"INST"	""
"HBAB-LE-18908"	"CRTE"	"APPR"	"400040234"	"INST"	""
"HBAZ-LE-18963"	"CRTE"	"APPR"	"400142439"	"INST"	""
"HBAB-LN-18901"	"CRTE"	"APPR"	"400023907"	"INST"	""
"HBAB-LE-18915"	"CRTE"	"APPR"	"400103277"	"INST"	""
"HBBB-LN-18012"	"CRTE"	"APPR"	"400033813"	"INST"	""
"HBAB-WO-18054"	"CRTE"	"APPR"	"400047367"	"INST"	""
"HBAB-LN-18941"	"CRTE"	"APPR"	"400164116"	"INST"	""
"HBAA-LN-1801-1856-L3-Q"	"CRTE"	"APPR"	"400150032"	"INST"	""
"HBBA-LN-180243"	"CRTE"	"APPR"	"400083817"	"INST"	""
"HBAZ-LE-18960"	"CRTE"	"APPR"	"400043642"	"INST"	""
"HBAZ-LE-18952"	"CRTE"	"APPR"	"400181572"	"INST"	""
"HBAB-LE-18904"	"CRTE"	"APPR"	"400078922"	"INST"	""
"HBAB-LE-18944"	"CRTE"	"APPR NOPM"	"400075893"	"INST"	""
"HBAB-LE-18910"	"CRTE"	"APPR"	"400184126"	"INST"	""
"HBBA-LN-180207"	"CRTE"	"APPR"	"400102716"	"INST"	""
"HBBA-LN-180250"	"CRTE"	"APPR"	"400104034"	"INST"	""
"HBAA-WO-1801-C"	"CRTE"	"APPR"	"400195520"	"INST"	""
"HBAB-LN-18917"	"CRTE"	"APPR"	"400006959"	"INST"	""
