"entity name","entity CFIHOS unique id","attribute name","entity attribute name","attribute CFIHOS unique id","entity attribute definition","note / comment","identifier / mandatory / optional","constraint must be present in","change request number","status","created date","modified date","terminated date"
"tag class equipment class relationship","CFIHOS-00000050","tag number format",,"CFIHOS-10000099","An expression that represents the format of the tags belonging to the tag class","This allows companies to have specific tag formats that depends on the equipment classes","Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class equipment class relationship","CFIHOS-00000050","tag or equipment class relationship reason for mapping",,"CFIHOS-10000266","The underlying reason why the tag class and the equipment class are related",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class property","CFIHOS-00000016","property name",,"CFIHOS-10000056","The name of the property that applies to a tag or equipment class",,"Identifier","tag or equipment class property","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag class property","CFIHOS-00000016","tag class name",,"CFIHOS-10000040","The full name of the non abstract tag or equipment class to which the property applies",,"Identifier","tag or equipment class property","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag or equipment class","CFIHOS-00000090","CFIHOS unique code",,"CFIHOS-10000146","A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class","CFIHOS unique code are unique across all types of objects in CFIHOS RDL The initial set of values will be the CFIHOS unique ids that were assigned to tagclasses","Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag or equipment class","CFIHOS-00000090","abstract class indicator",,"CFIHOS-10000042","An indication whether the tag or equipment class is an aggregation of other tag or equipment classes and should not be used for associating properties",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag or equipment class","CFIHOS-00000090","equipment class indicator",,"CFIHOS-10000260","An indication that the tag or equipment class is considered as an equipment class",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"tag or equipment class","CFIHOS-00000090","parent tag or equipment class name",,"CFIHOS-10000257","The full name of the tag or equipment class","The parent is actually mandatory for all classes, except the one at the top of the hierarchy","Optional","tag or equipment class","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"CFIHOS object equivalent mapping","CFIHOS-00000052","CFIHOS code equivalent value",,"CFIHOS-10000206","The code, assigned in the coding source, to the object that is equivalent to the CFIHOS object",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"CFIHOS object equivalent mapping","CFIHOS-00000052","CFIHOS unique code",,"CFIHOS-10000146","A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to an object in the CFIHOS RDL",,"Identifier","property","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"CFIHOS object equivalent mapping","CFIHOS-00000052","coding source code",,"CFIHOS-10000204","The system that has been assigning codes to objects relevant to CFIHOS",,"Identifier","coding source","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO country","CFIHOS-00000039","ISO country code",,"CFIHOS-10000151","A code that uniquely identifies a country, according to ISO 3166-1",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO country","CFIHOS-00000039","ISO country name",,"CFIHOS-10000188","The name assigned by ISO to the country, in its 3166-1 standard",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO currency","CFIHOS-00000042","ISO currency code",,"CFIHOS-10000193","A code that uniquely identifies a currency, as per ISO 4217",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO currency","CFIHOS-00000042","ISO currency name",,"CFIHOS-10000194","The name that is assigned to the ISO currency",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO language","CFIHOS-00000044","ISO language code",,"CFIHOS-10000147","The code by which ISO designates a language, in its ISO639-1 standard",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"ISO language","CFIHOS-00000044","ISO language name",,"CFIHOS-10000197","The name that ISO assigns to a language, in its ISO639-1 standard",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","ISO language code",,"CFIHOS-10000147","The language in which is expressed the additional file",,"Optional","ISO language","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","document number",,"CFIHOS-10000154","The unique identifier for the document according to the Owner/Operator document numbering scheme, to which the additional file is associated",,"Identifier","document revision","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","document revision code",,"CFIHOS-10000162","A code used to identify the content of a document at a certain point in time according to the Owner/Operator Document Revision Coding scheme","It is used to track the evolution of a document during its lifecycle and is applied at time of release from Originator to reflect the document is frozen.","Identifier","document revision","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","file name",,"CFIHOS-10000127","The unique name of the electronic file (including its extension)",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","file title",,"CFIHOS-10000126","A description in a short and concise manner of the content of the additional file","This is not meant to repeat the document title. The FILE_TITLE shall be unique within a particular document revision. Refer to the chapter Set of Files for more information.","Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"additional file","CFIHOS-00000023","storage media code","storage media","CFIHOS-10000094","The type of media used to store the content of the additional file",,"Optional","storage media","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","application condition code",,"CFIHOS-10000232","A code that uniquely identifies an application condition",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","application condition description",,"CFIHOS-10000233","A description of what the application condition represents",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","application condition value",,"CFIHOS-10000288","The value against which a property must be compared to know if the application condition is met",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","comparison operator code",,"CFIHOS-10000286","A code that uniquely identifies the comparison operator",,"Optional","comparison operator","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","property name",,"CFIHOS-10000056","The name of the property the application condition refers to",,"Optional","property","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","tag or equipment class name",,"CFIHOS-10000256","The full name of the non abstract tag or equipment class to which the property applies",,"Optional","tag or equipment class property","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition","CFIHOS-00000069","unit of measure code",,"CFIHOS-10000237","The unit of measure in which a numeric property associated with the application condition is expressed",,"Optional","unit of measure","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition group","CFIHOS-00000097","application condition group code",,"CFIHOS-10000284","A code that uniquely identifies a group of application conditions",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition group","CFIHOS-00000097","application condition group description",,"CFIHOS-10000285","A description of what the application condition group represents",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition group member","CFIHOS-00000099","application condition code",,"CFIHOS-10000232","A code that uniquely identifies an application condition that is member of the application condition group",,"Identifier","application condition","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"application condition group member","CFIHOS-00000099","application condition group code",,"CFIHOS-10000284","A code that uniquely identifies a group of application conditions this is a member of",,"Identifier","application condition group","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"area","CFIHOS-00000003","area code",,"CFIHOS-10000001","A code that uniquely identifies the area within the plant",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"area","CFIHOS-00000003","area name",,"CFIHOS-10000002","A name describing the location of an area within the plant",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"area","CFIHOS-00000003","plant code",,"CFIHOS-10000005","The plant the area is part of",,"Identifier","plant","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"asset type","CFIHOS-00000056","asset type code",,"CFIHOS-10000101","A code that uniquely identifies the type of asset",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"asset type","CFIHOS-00000056","asset type description",,"CFIHOS-10000212","A description of what the asset type represents",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"coding source","CFIHOS-00000051","CFIHOS coding equivalent source description",,"CFIHOS-10000205","A description of what that coding source is",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"coding source","CFIHOS-00000051","coding source code",,"CFIHOS-10000204","A code that uniquely identifies the system that has been assigning codes to objects relevant to CFIHOS",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"commissioning unit","CFIHOS-00000004","commissioning unit code",,"CFIHOS-10000009","A code that uniquely identifies the commissioning unit within a plant",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"commissioning unit","CFIHOS-00000004","commissioning unit name",,"CFIHOS-10000010","The name by which the commission unit is usually designated",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"commissioning unit","CFIHOS-00000004","parent commissioning unit code",,"CFIHOS-10000176","A code that uniquely identifies the parent of the commission unit at the plant",,"Optional","commissioning unit","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"commissioning unit","CFIHOS-00000004","plant code",,"CFIHOS-10000005","The plant the commissioning unit is part of",,"Identifier","plant","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","ISO country code",,"CFIHOS-10000151","The country where the company address is located",,"Mandatory","ISO country","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company address line 1",,"CFIHOS-10000149","The first line of the address of the company",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company address line 2",,"CFIHOS-10000185","The second line of the address of the company",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company address line 3",,"CFIHOS-10000186","The third line of the address of the company",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company contact person",,"CFIHOS-10000038","The name of the person to contact in the company",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company contact person function",,"CFIHOS-10000039","A description of the role of the contact person within the organization of the company.",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company email address",,"CFIHOS-10000155","The official email address of the company",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company fax number",,"CFIHOS-10000156","The official fax number of the company",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company name",,"CFIHOS-10000150","A name used to uniquely identify the company","It is sometimes extracted from maintenance management system. The owner / operator and the EPC company need to align on the name of companies.","Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","company telephone number",,"CFIHOS-10000167","The official telephone number of the company",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","manufacturer indicator",,"CFIHOS-10000036","An indicator whether the company is a manufacturer or not",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"company","CFIHOS-00000009","supplier indicator",,"CFIHOS-10000037","An indicator whether the company is a supplier or not",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"comparison operator","CFIHOS-00000098","comparison operator code",,"CFIHOS-10000286","A code that uniquely identifies the comparison operator",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"comparison operator","CFIHOS-00000098","comparison operator name",,"CFIHOS-10000287","The description of what the comparison operator represents",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"construction assembly","CFIHOS-00000026","construction assembly code",,"CFIHOS-10000130","A code that uniquely identifies the construction assembly at a plant",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"construction assembly","CFIHOS-00000026","construction assembly name",,"CFIHOS-10000131","A name describing the purpose of a construction assembly",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"construction assembly","CFIHOS-00000026","parent construction assembly code",,"CFIHOS-10000175","A code that uniquely identifies the parent of a construction assembly at a plant",,"Optional","construction assembly","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"construction assembly","CFIHOS-00000026","plant code",,"CFIHOS-10000005","The plant at which the construction assembly is constructed",,"Identifier","plant","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion loop code",,"CFIHOS-10000018","A code that uniquely identifies the corrosion loop at a plant",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion loop description",,"CFIHOS-10000020","A description of what the corrosion loop is",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion loop name",,"CFIHOS-10000019","The name by which the corrosion loop is usually designated",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion loop process description",,"CFIHOS-10000021","A description of the process performed by the elements of the corrosion loop",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion loop type code",,"CFIHOS-10000023","The type of corrosion loop that classifies this corrosion loop",,"Optional","corrosion loop type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","corrosion type description",,"CFIHOS-10000022","A description of the expected effects of the corrosion",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop","CFIHOS-00000010","plant code",,"CFIHOS-10000005","The plant at which the corrosion loop is located",,"Identifier","plant","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop type","CFIHOS-00000011","corrosion loop type code",,"CFIHOS-10000023","A code that uniquely identifies the type of corrosion loop",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"corrosion loop type","CFIHOS-00000011","corrosion loop type name",,"CFIHOS-10000024","The name by which the corrosion loop type is usually designated",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"data type","CFIHOS-00000096","data type code",,"CFIHOS-10000171","An indication what are the type of values a data element can take",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"data type","CFIHOS-00000096","data type name",,"CFIHOS-10000251","A description of what the data type code represents",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"deliverable format","CFIHOS-00000137","deliverable format code",,"CFIHOS-10000365","A code that uniquely identifies the format of the deliverable",,"Identifier",,"FR74","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"deliverable format","CFIHOS-00000137","deliverable format description",,"CFIHOS-10000366","A description of what the deliverable format represents",,"Optional",,"FR74","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline","CFIHOS-00000021","CFIHOS unique code",,"CFIHOS-10000146","A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the discipline",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline","CFIHOS-00000021","discipline code",,"CFIHOS-10000153","A code that  uniquely identifies a discipline",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline","CFIHOS-00000021","discipline description",,"CFIHOS-10000208","A description of what the discipline covers",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline","CFIHOS-00000021","discipline name",,"CFIHOS-10000075","The name by which the discipline is designated",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","CFIHOS unique code",,"CFIHOS-10000146","A unique identifier, assigned in the CFIHOS Reference Data Library (RDL) to the tag or equipment class",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","asset type code","asset type reference","CFIHOS-10000101","The type of asset that is used as reference for the discipline document type",,"Mandatory","asset type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","authenticated record format",,"CFIHOS-10000358","The format under which the authoritative record should be provided","In the RDL, this information will be left blank. It is the responsibility of each owner / operator to specify the format under which the authenticated record should be provided.","Optional","document format","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","discipline code",,"CFIHOS-10000153","The discipline a discipline document type refers to",,"Identifier","discipline","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","discipline document type comment",,"CFIHOS-10000122","A comment about this discipline and document type",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","discipline document type short code",,"CFIHOS-10000207","At alternate way of identifying uniquely a combination of discipline and document type","This attribute is calculated as a concatenetion of the discipline code and the document type short code","Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","document review type code","review type","CFIHOS-10000064","The type of review to be conducted for the documents classified with this document type and this discipline",,"Optional","document review type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","document type short code",,"CFIHOS-10000100","The document type a discipline document type refers to",,"Identifier","document type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","documentation representation type code","representation type","CFIHOS-10000112","The representation type that should be used for documents of this type, for this discipline",,"Mandatory","document representation type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","hardcopy document required",,"CFIHOS-10000123","An indicator which specifies if documents classified with this document type require a paper hardcopy. during project and/or after project",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","native document format",,"CFIHOS-10000357","The format under which the native document should be provided","In the RDL, this information will be left blank. It is the responsibility of each owner / operator to specify the format under which the native file should be provided.","Optional","document format","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","native file delivery timing code","native file delivery timing","CFIHOS-10000355","The format under which the native document should be provided",,"Mandatory","native file delivery timing","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type","CFIHOS-00000027","translated document required",,"CFIHOS-10000124","An indicator which specifies if documents classified with this document type have to be translated in another language. during project and/or after project.",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type handover requirement","CFIHOS-00000134","discipline code",,"CFIHOS-10000153","The discipline to which refers the discipline document type requirement",,"Identifier","discipline document type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type handover requirement","CFIHOS-00000134","document status code","required document status for the handover event","CFIHOS-10000083","The status that the document should have, as required for this discipline, this document type at this handover phase.",,"Optional","document status","FR3;FR27","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type handover requirement","CFIHOS-00000134","document type short code",,"CFIHOS-10000100","The document type to which refers this discipline document type requirement",,"Identifier","discipline document type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"discipline document type handover requirement","CFIHOS-00000134","handover event name",,"CFIHOS-10000352","The event prior to which document types for a given discipline have to be handed over",,"Identifier","handover event","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document and data requirement group","CFIHOS-00000101","document and data requirement group code",,"CFIHOS-10000291","A code that uniquely identifies the group to which a vendor document and data requirement belongs",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document and data requirement group","CFIHOS-00000101","document and data requirement group name",,"CFIHOS-10000292","A description of what that group of vendor document and data requirements represents",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document and data requirement type","CFIHOS-00000100","document and data requirement type code",,"CFIHOS-10000289","A code that uniquely identifies the type of document and data requirement",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document and data requirement type","CFIHOS-00000100","document and data requirement type description",,"CFIHOS-10000290","A description of what the document and data requirement represents",,"Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document format","CFIHOS-00000058","document format code",,"CFIHOS-10000214","A code that uniquely identifies a format that a document can take",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document format","CFIHOS-00000058","document format description",,"CFIHOS-10000215","A description of what the document format represents",,"Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","discipline document type short code",,"CFIHOS-10000207","At alternate way of identifying uniquely a combination of discipline and document type",,"Mandatory","discipline document type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","document number",,"CFIHOS-10000154","The unique identifier for the Document according to the Owner/Operator Document numbering scheme",,"Identifier",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","document review type code","document review type","CFIHOS-10000064","A code that uniquely identifies a document review type",,"Mandatory","document review type","FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","document title",,"CFIHOS-10000168","A description, in a short and concise manner, of the content of the document","The title of the document usually appears on the front page of the document or in title block.","Mandatory",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","forecast approval date",,"CFIHOS-10000067","The latest forecast date at which the document is expected to be issued for approval","The first issuance of the Document_Master will be the baseline plan.","Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
"document master","CFIHOS-00000022","forecast approved for construction date",,"CFIHOS-10000071","The latest forecast date at which the document is expected to be issued approved for construction","The first issuance of the Document_Master will be the baseline plan.","Optional",,"FR3","STANDARD","2021-10-06T16:45:36.277Z","2021-10-06T16:45:36.277Z",
