"equipment class name","equipment class CFIHOS unique id","equipment property name","equipment property CFIHOS unique id","property relevant for equipment indicator","property relevant for model / part indicator","SI unit of measure code","imperial unit of measure code","source standard code","source standard section","property name in source standard","status","change request number","created date","modified date","terminated date"
"agitator","CFIHOS-30000102","ATEX category","CFIHOS-40000009",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","ATEX explosive atmosphere","CFIHOS-40000010",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","ATEX group","CFIHOS-40000011",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","bottom plates corrosion allowance","CFIHOS-40000020",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","bottom plates material specification","CFIHOS-40000021",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","corrosion allowance","CFIHOS-40000491",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","design specification","CFIHOS-40000487",,,,,"IEC 60529:2013",,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","diameter","CFIHOS-40000493",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","explosion protection concept","CFIHOS-40000108",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection examination certificate number","CFIHOS-40000109",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection gas group","CFIHOS-40000110",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection notified body","CFIHOS-40000111",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection temperature class","CFIHOS-40000112",,,,,"IEC 60529:2013",,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","explosion protection zone","CFIHOS-40000113",,,,,"IEC 60529:2013",,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"agitator","CFIHOS-30000102","floating roof seal type","CFIHOS-40000124",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","hydrostatic test pressure","CFIHOS-40000497",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","ingress protection","CFIHOS-40000173",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","Inspection authority","CFIHOS-40000176",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","legal registration number","CFIHOS-40000200",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","post weld heat treatment","CFIHOS-40000318",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","pressure relief device","CFIHOS-40000542",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","roof plates corrosion allowance","CFIHOS-40000338",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","roof plates material specification","CFIHOS-40000339",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","shell material specification","CFIHOS-40000354",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","shell plates corrosion allowance","CFIHOS-40000361",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"agitator","CFIHOS-30000102","upper limit operating liquid height","CFIHOS-40000471",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air circuit-breaker","CFIHOS-30000803","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","breaking capacity","CFIHOS-40000029",,,"AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection gas group","CFIHOS-40000110",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection temperature class","CFIHOS-40000112",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","rated current","CFIHOS-40000521",,,"AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","rated frequency","CFIHOS-40000522",,,"HTZ","HTZ",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","rated impulse voltage","CFIHOS-40000324",,,"KVT","KVT",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","rated short circuit current","CFIHOS-40000331",,,"B22","B22",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air circuit-breaker","CFIHOS-30000803","rated voltage","CFIHOS-40000528",,,"VLT","VLT",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air conditioner","CFIHOS-30000382","rated current","CFIHOS-40000521",,,"AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air conditioner","CFIHOS-30000382","rated voltage","CFIHOS-40000528",,,"VLT","VLT",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","air cooler type","CFIHOS-40000005",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","ATEX category","CFIHOS-40000009",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","ATEX explosive atmosphere","CFIHOS-40000010",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","ATEX group","CFIHOS-40000011",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","bare tube outside surface area","CFIHOS-40000013",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","design specification","CFIHOS-40000487",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","dry weight","CFIHOS-40000494",,,"KGM","LBR","ISO 13706:2011",,,"STANDARD","CR0028;CR0032;FR37","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection concept","CFIHOS-40000108",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection examination certificate number","CFIHOS-40000109",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection gas group","CFIHOS-40000110",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection material group","CFIHOS-40000612",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection notified body","CFIHOS-40000111",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection temperature class","CFIHOS-40000112",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","explosion protection zone","CFIHOS-40000113",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","finned outside surface area","CFIHOS-40000121",,,"MTK","FTK","ISO 13706:2011",,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","head corrosion allowance","CFIHOS-40000144",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","head material","CFIHOS-40000148",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","head material specification","CFIHOS-40000149",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","head number of passes","CFIHOS-40000150",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","header internal corrosion allowance","CFIHOS-40000627",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","heating coil number of tubes","CFIHOS-40000155",,,,,,,,"TERMINATED","CR0028","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z","2021-10-11T09:43:05.815Z"
"air cooled heat exchanger","CFIHOS-30000383","height","CFIHOS-40000496",,,"MMT","INH",,,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","hydrostatic test pressure","CFIHOS-40000497",,,"BRG","64",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","ingress protection","CFIHOS-40000173",,,,,,,,"STANDARD","CR0028","2019-05-14T08:40:09.715Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","Inspection authority","CFIHOS-40000176",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","legal registration number","CFIHOS-40000200",,,,,,,,"STANDARD","V1.2","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
"air cooled heat exchanger","CFIHOS-30000383","length","CFIHOS-40000201",,,"MMT","INH","ISO 13706:2011",,,"STANDARD","CR0032","2017-02-13T22:41:14.815Z","2021-10-11T09:43:05.815Z",
