"property name","property definition","property data type","property data type length","unit of measure dimension code","picklist name","CFIHOS unique id","reason for having property","synonym","created date","modified date","terminated date","change request number","status"
"project stage code","A code used to identify the Project Stage in which the Document is created/modified.","Text",1,,,"CFIHOS-10000096",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"asset type reference","Indicate the object type (e.g., Tag, Equipment, Plant) to which a document classified with this document type is making reference to.","Text",40,,"asset type","CFIHOS-10000101",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"required for conceptual design","Indicates if the document type is required during the CONCEPTUAL DESIGN phase (Select).","Boolean",3,,,"CFIHOS-10000102",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required for project specification","Indicates if the document type is required during the project SPECIFICATION phase (Define).","Boolean",3,,,"CFIHOS-10000103",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required for detailed design","Indicates if the document type is required during the DETAILED DESIGN phase (Execute)","Boolean",3,,,"CFIHOS-10000104",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required handover status","Indicate the required status of the Document at handover time.","Text",40,,"engineering status","CFIHOS-10000105",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"required for commissioning","Indicates if the document type is required during the COMMISSIONING phase","Boolean",3,,,"CFIHOS-10000106",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required commissioning status","Indicate the required Document status at commissioning time.","Text",40,,"engineering status","CFIHOS-10000107",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"required for start up","Indicates if the document type is required during STARTUP phase","Boolean",3,,,"CFIHOS-10000108",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required start up status","Indicate the required Document status at start up time.","Text",40,,"engineering status","CFIHOS-10000109",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"required for offshore","Indicates if this Document Type is required for Off- Shore facilities.","Boolean",3,,,"CFIHOS-10000110",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required for onshore","Indicates this Document Type is required for On- Shore facilities.","Boolean",3,,,"CFIHOS-10000111",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"representation type code","A code used to identify how the Document content should be represented","Text",40,,"representation type","CFIHOS-10000112",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"storage type code","A code used to identify the preferred way for storing the Document","Text",2,,"document type storage type","CFIHOS-10000113",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0023;CR0030","TERMINATED"
"during project format","Indicates the format required during the project.","Text",50,,"document format","CFIHOS-10000115",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"during project whyhaveit","States the importance of this document type during the project.","Text",40,,,"CFIHOS-10000116",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"after project livenonlive","Indicates the lifecycle status of this document type after the project.","Text",6,,,"CFIHOS-10000117",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"after project format","Indicates the format required after the project.","Text",50,,"document format","CFIHOS-10000118",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"after project whyhaveit","States the importance of this document type after the project.","Text",40,,,"CFIHOS-10000119",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"review type","Indicates the type of review to be conducted for the documents classified with this document type.","Text",20,,"document review type","CFIHOS-10000120",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"hardcopy document required","Specifies if documents classified with this document type require a paper hardcopy.","Boolean",3,,,"CFIHOS-10000123",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"required translated","Specifies if documents classified with this document type have to be translated in another language.","Boolean",3,,,"CFIHOS-10000124",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"as built document required","Specifies if documents classified with this document type have to be maintain in an As Built condition.","Boolean",3,,,"CFIHOS-10000125",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030;FR74","TERMINATED"
"reason for issue","Identify the reason for issuing the Transmittal.","Text",40,,,"CFIHOS-10000142",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"property data type","Indicate the Data_Type for the Property.","Text",10,,"data type","CFIHOS-10000171",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"property value uom","The unit of measure.","Text",100,,"unit of measure","CFIHOS-10000172",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"property value UOM (SI UOM)","The unit of measure.","Text",100,,"unit of measure","CFIHOS-10000173",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"property value UOM (Imperial UOM)","The unit of measure.","Text",100,,"unit of measure","CFIHOS-10000174",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z","2021-10-12T13:20:46.735Z","CR0030","TERMINATED"
"actual length","The actual length of the functional or physical object.","Number",,,,"CFIHOS-40000001",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025;FR69","STANDARD"
"actuator motion","A general description of the mechanical operation of the actuator. For example is it linear or rotary? Electric or hydraulic?","Text",40,,"actuator motion","CFIHOS-40000002",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"actuator seal material","The material of construction of the piston 'O' ring seal of an actuator.","Text",40,,"actuator seal material","CFIHOS-40000003",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"adjustment ring material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000004",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"air cooler type","Is a subtype of air cooler","Text",40,,"air cooler type","CFIHOS-40000005",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"air preheater type","Is a subtype of preheater","Text",40,,"preheater type","CFIHOS-40000006",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"anti corrosion coating thickness","The total anti corrosion coating system thickness.","Number",,,,"CFIHOS-40000007",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"anti corrosion coating type","The type of anti corrosion coating system.","Text",40,,,"CFIHOS-40000008",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"ATEX category","Specify in which category the physical object is divided in accordance with the directive 94/9/EC.","Text",40,,"ATEX category","CFIHOS-40000009",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"ATEX explosive atmosphere","Specify in which explosive atmosphere the physical object is divided in accordance with the directive 94/9/EC.","Text",40,,"ATEX explosive atmosphere","CFIHOS-40000010",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"ATEX group","Specify in which group the physical object is divided in accordance with the directive 94/9/EC.","Text",40,,"ATEX group","CFIHOS-40000011",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"autonomy time","The duration   of time during which a functional or physical object is designed to deliver its rated output under specified conditions.","Number",,,,"CFIHOS-40000012",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bare tube outside surface area","Is an area located on a surface.","Number",,,,"CFIHOS-40000013",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"basic impulse level","The dielectric insulation gradient of a material tested to withstand the defined voltage stresses.","Number",,,,"CFIHOS-40000014",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"battery construction","Describe whether the battery is a vented construction or sealed.","Text",40,,"battery construction","CFIHOS-40000015",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"bellows material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000016",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"body material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000017",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"body material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000018",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"boiler type","Is a subtype of boiler","Text",40,,"boiler type","CFIHOS-40000019",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"bottom plates corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000020",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom plates material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000021",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"bottom section inside diameter","Is an inside diameter of an item that is the prime inside diameter in case the item has more than one inside diameter.","Number",,,,"CFIHOS-40000022",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section length","Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.","Number",,,,"CFIHOS-40000023",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section lower limit operating pressure","Is a pressure that is a minimum possible or allowed or occurring or required.","Number",,,,"CFIHOS-40000024",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section lower limit operating temperature","The temperature which is the lowest temperature at  which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000025",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section normal operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000026",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section normal operating temperature","The temperature at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000027",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"bottom section upper limit operating temperature","The temperature which is the highest temperature at which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000028",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"breaking capacity","The current that a fuse or circuit breaker is able to interrupt without being destroyed or causing an electric arc with unacceptable duration.","Number",,,,"CFIHOS-40000029",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"buried","Is the functional item buried, yes/no?","Boolean",3,,,"CFIHOS-40000030",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"burner type","Is a subtype of burner","Text",40,,"burner type","CFIHOS-40000031",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"cable cross sectional area","The cross sectional area of the cable cores","Number",,,,"CFIHOS-40000032",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cable specification","The designation which defines the specification of the cable in accordance with national or international standards. (Example on cable specification according to Cenelec HD 361: H07 VV-F 10x1,5)","Text",40,,,"CFIHOS-40000033",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"cable type","The code describing the construction of the cable.","Text",40,,"cable type","CFIHOS-40000034",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"FR52","STANDARD"
"capacitor bank cooling method","The main method of cooling of a capacitor bank.","Text",40,,"capacitor bank cooling method","CFIHOS-40000035",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"capacity control range","Specify the reduced capacity in percent.","Number",,,,"CFIHOS-40000036",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"channel corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000037",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"channel material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000038",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"chemical cleaning required","Specify if the functional or physical object requires chemical cleaning.","Boolean",3,,,"CFIHOS-40000039",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"chloride concentration","Specifies the level of chloride in the liquid.","Number",,,,"CFIHOS-40000040",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"coating specification","Is a material specification for a coating.","Text",40,,"coating material","CFIHOS-40000041",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"coil normal operating pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000042",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"coil normal operating temperature","The temperature at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000043",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"coil upper limit design pressure","The highest pressure at which a functional or physical object is designed for.","Number",,,,"CFIHOS-40000044",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold differential test pressure","Is the pressure at which the pressure relief valve is adjusted to open on the bench. It includes corrections for back pressure and/or temperature","Number",,,,"CFIHOS-40000045",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side fluid name","The name of the product in liquid or gas phase.","Text",100,,"fluid","CFIHOS-40000046",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"cold side maximum allowable working pressure new and cold","Is an allowable operating pressure that is the maximum pressure to which a container is allowed to be exposed during operating conditions when the item is new and cold.","Number",,,,"CFIHOS-40000047",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side minimum design metal temperature","Is a temperature that is the lowest at which a significant load can be applied. Typically applied to a pressure vessel. Defined by the ASME Code, Section VIII, Division 1, paragraph UG-20 (see Section 3).","Number",,,,"CFIHOS-40000048",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side normal operating inlet pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000049",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side normal operating inlet temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000050",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side normal operating outlet pressure","The pressure at which a functional or physical object is expected to operate normally.","Number",,,,"CFIHOS-40000051",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side normal operating outlet temperature","Is a temperature that occurs during operation or under which an object is supposed to operate.","Number",,,,"CFIHOS-40000052",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side number of passes","Is a number of items where each item is a tube pass.","Number",,,,"CFIHOS-40000053",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side test medium","The medium used for testing purpose.","Text",40,,"test medium","CFIHOS-40000054",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"cold side test pressure","The pressure to which a functional or physical object should be subjected to test for leakage and structural integrity.","Number",,,,"CFIHOS-40000055",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side upper limit design pressure","The highest pressure at which a functional or physical object is designed for.","Number",,,,"CFIHOS-40000056",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"cold side upper limit operating temperature","The temperature which is the highest temperature at which a functional or physical object is expected to operate.","Number",,,,"CFIHOS-40000057",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"component cooling requirement","Specify the component which require cooling.","Text",40,,"cooling on","CFIHOS-40000058",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"component cooling type","Specify the preferred type of cooling.","Text",40,,"cooling type","CFIHOS-40000059",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"compressibility factor Z at inlet","The compressibility (Z) factor for the process medium at inlet conditions","Number",,,,"CFIHOS-40000060",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"compressor capacity control type","Specify the type of capacity control.","Text",40,,"capacity control","CFIHOS-40000061",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"connection symbol","A nomenclature provides important information about the way in which three phase windings are connected and any phase displacement that occurs","Text",40,,,"CFIHOS-40000062",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"controlled property","Provide a general description of the physical property that the instrument loop is measuring and controlling. For example pressure, flow, temperature etc","Text",40,,"controlled property","CFIHOS-40000063",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"corrosive agents","Specify which corrosive agents are present in the process fluid.","Text",40,,,"CFIHOS-40000064",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"corrosive gas","Specify if the gas is corrosive.","Boolean",3,,,"CFIHOS-40000065",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"corrosive liquid","Specify if the liquid contains corrosive agents.","Boolean",3,,,"CFIHOS-40000066",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"coupling type","A general description of the type of coupling to the drive shaft of an equipment item. For example fixed, flexible, disconnected etc","Text",40,,"coupling type","CFIHOS-40000067",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"crane type","Give a general description of the type of crane. For example gantry crane, pedestal crane etc","Text",40,,"crane type","CFIHOS-40000068",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"crankcase rapid pressure relief device","Specify if the crankcase shall have a pressure relief device.","Boolean",3,,,"CFIHOS-40000069",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"critical line","Specifies if the design for the line requires some special attention.","Boolean",3,,,"CFIHOS-40000070",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"critical pipeline","Pipelines where the linepipe is specified as ISO-3183 class 2 or 3.","Boolean",3,,,"CFIHOS-40000071",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030;FR74","STANDARD"
"cylinder head cooling method","The method of cooling of the cylinder head of the equipment item.","Text",40,,"cylinder head cooling method type","CFIHOS-40000072",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"cylinder lubricator type","Specify the type of lubricator for the cylinder.","Text",40,,,"CFIHOS-40000073",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"design tube metal temperature","Is a temperature for which an item is designed to withstand the design pressure. It is typically derived from various normal and possible abnormal operating conditions.","Number",,,,"CFIHOS-40000074",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"direction of rotation","Specify the direction of rotation of the functional or physical object.","Text",40,,"direction of rotation","CFIHOS-40000075",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"disc holder material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000076",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"disc material","Is a possessed aspect being a role of the substance of an artefact when used to construct the artefact from. Therefore the substance should be in a solid state at the conditions at which the artefact exists.","Text",40,,"material","CFIHOS-40000077",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"V1.2","STANDARD"
"disc material specification","Is a specification which describes the applicable materials for one or more items.","Text",50,,"material specification","CFIHOS-40000078",,,"2017-02-15T19:47:29.464Z","2021-10-12T13:20:46.735Z",,"CR0030","STANDARD"
"downcomer corrosion allowance","Is a thickness that is a bonus on a wall thickness to compensate for expected corrosion.","Number",,,,"CFIHOS-40000079",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
"downcomer length","Is a distance measured in the direction of the longest side of an item or in the direction of its main axis.","Number",,,,"CFIHOS-40000080",,,"2021-10-05T04:25:16.689Z","2021-10-05T04:25:16.689Z",,"CR0025","STANDARD"
