"tag class name","tag class CFIHOS unique id","tag property name","tag property CFIHOS unique id","SI unit of measure code","imperial unit of measure code","source standard code","source standard section","property name in source standard","status","change request number","created date","modified date","terminated date"
"accumulator","CFIHOS-30000315","product stored","CFIHOS-40000322",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","relief valve set pressure","CFIHOS-40000336",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","shell normal external operating pressure","CFIHOS-40000356",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","shell normal internal operating pressure","CFIHOS-40000357",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","shell normal operating temperature","CFIHOS-40000358",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","test medium","CFIHOS-40000412",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","test pressure","CFIHOS-40000532",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"accumulator","CFIHOS-30000315","upper limit design pressure","CFIHOS-40000535","BRG","64",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","upper limit design temperature","CFIHOS-40000536","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","upper limit operating pressure","CFIHOS-40000537","BRG","64",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"accumulator","CFIHOS-30000315","upper limit operating temperature","CFIHOS-40000538","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"actuator","CFIHOS-30000607","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"actuator","CFIHOS-30000607","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"actuator","CFIHOS-30000607","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"adaptor connector","CFIHOS-30000801","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adaptor connector","CFIHOS-30000801","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adaptor connector","CFIHOS-30000801","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","bottom section normal operating pressure","CFIHOS-40000026","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","bottom section normal operating temperature","CFIHOS-40000027","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","design specification","CFIHOS-40000487",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","external coating specification","CFIHOS-40000613",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","external insulation type","CFIHOS-40000114",,,"ASME BPVC Section VIII",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","fluid name","CFIHOS-40000132",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","insulation code","CFIHOS-40000178",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","intermediate section normal operating pressure","CFIHOS-40000184","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","intermediate section normal operating temperature","CFIHOS-40000185","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","top section normal operating pressure","CFIHOS-40000420","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","top section normal operating temperature","CFIHOS-40000421","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","upper limit design pressure","CFIHOS-40000535","BRG","64",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"adsorber column","CFIHOS-30000802","upper limit design temperature","CFIHOS-40000536","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"aerator","CFIHOS-30000515","normal operating pressure","CFIHOS-40000512","BRG","64",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"aerator","CFIHOS-30000515","normal operating temperature","CFIHOS-40000514","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","design specification","CFIHOS-40000487",,,"IEC 60529:2013",,,"STANDARD","FR74","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","explosion protection gas group","CFIHOS-40000110",,,"IEC 60529:2013",,,"STANDARD","FR74","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","explosion protection temperature class","CFIHOS-40000112",,,"IEC 60529:2013",,,"STANDARD","FR74","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","explosion protection zone","CFIHOS-40000113",,,"IEC 60529:2013",,,"STANDARD","FR74","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","fluid name","CFIHOS-40000132",,,,,,"STANDARD","V1.2","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","insulation type","CFIHOS-40000179",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"agitator","CFIHOS-30000102","lower limit operating temperature","CFIHOS-40000504","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","normal operating liquid dynamic viscosity","CFIHOS-40000274",,,,,,"STANDARD","CR0031;FR60","2020-05-05T08:55:09.301Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","normal operating pressure","CFIHOS-40000512",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"agitator","CFIHOS-30000102","operation continuous intermittent","CFIHOS-40000309",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","test pressure","CFIHOS-40000532",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"agitator","CFIHOS-30000102","upper limit design pressure","CFIHOS-40000535",,,,,,"TERMINATED","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"agitator","CFIHOS-30000102","upper limit design temperature","CFIHOS-40000536","CEL","FAH",,,,"STANDARD","CR0032","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","upper limit design volume flow rate","CFIHOS-40000573",,,,,,"STANDARD","CR0031;FR60","2020-05-05T08:55:09.301Z","2021-10-11T08:54:11.582Z",
"agitator","CFIHOS-30000102","upper limit operating temperature","CFIHOS-40000538","CEL","FAH",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","breaking capacity","CFIHOS-40000029","AMP","AMP",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","nominal current","CFIHOS-40000241","AMP","AMP",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","number of electrical phases","CFIHOS-40000302",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","operating voltage","CFIHOS-40000603",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","rated current","CFIHOS-40000521","AMP","AMP",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","rated frequency","CFIHOS-40000522","HTZ","HTZ",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","rated short circuit current","CFIHOS-40000331","B22","B22",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air circuit-breaker","CFIHOS-30000803","rated voltage","CFIHOS-40000528","VLT","VLT",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","nominal current","CFIHOS-40000241","AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","normal operating power consumption","CFIHOS-40000602",,,,,,"STANDARD","CR0028","2019-06-04T16:47:45.816Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","operating voltage","CFIHOS-40000603",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","rated current","CFIHOS-40000521","AMP","AMP",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","rated power consumption","CFIHOS-40000524","KWT","KWT",,,,"STANDARD","CR0028;CR0032","2019-06-11T10:56:41.158Z","2021-10-11T08:54:11.582Z",
"air conditioner","CFIHOS-30000382","rated voltage","CFIHOS-40000528","VLT","VLT",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","external coating specification","CFIHOS-40000613",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","fluid name","CFIHOS-40000132",,,,,,"STANDARD","CR0028","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","minimum design metal temperature","CFIHOS-40000232",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","normal operating inlet pressure","CFIHOS-40000511","BRA","PSA",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","normal operating inlet temperature","CFIHOS-40000272","CEL","FAH",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","normal operating mass flow rate","CFIHOS-40000275","E93","4U",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","normal operating outlet temperature","CFIHOS-40000282","CEL","FAH",,,,"STANDARD","CR0028;CR0032","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"air cooled heat exchanger","CFIHOS-30000383","test medium","CFIHOS-40000412",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","test pressure","CFIHOS-40000532",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","tube side normal operating inlet pressure","CFIHOS-40000438",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","tube side normal operating inlet temperature","CFIHOS-40000437",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","tube side normal operating outlet temperature","CFIHOS-40000439",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","upper limit design pressure","CFIHOS-40000535",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"air cooled heat exchanger","CFIHOS-30000383","upper limit design temperature","CFIHOS-40000536",,,"ISO 13706:2011",,,"TERMINATED","V1.2;CR0013","2017-02-13T22:35:17.395Z","2021-10-11T08:54:11.582Z","2021-10-11T08:54:11.582Z"
"alarm unit","CFIHOS-30000747","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"alarm unit","CFIHOS-30000747","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"alarm unit","CFIHOS-30000747","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","direction of rotation","CFIHOS-40000075",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","explosion protection gas group","CFIHOS-40000110",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","explosion protection temperature class","CFIHOS-40000112",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","explosion protection zone","CFIHOS-40000113",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","lower limit operating temperature","CFIHOS-40000504","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","normal output power","CFIHOS-40000292","KWT","K43",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","operation continuous intermittent","CFIHOS-40000309",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","rated voltage","CFIHOS-40000528","VLT","VLT",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current generator","CFIHOS-30000804","upper limit operating temperature","CFIHOS-40000538","CEL","FAH",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","direction of rotation","CFIHOS-40000075",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","explosion protection gas group","CFIHOS-40000110",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","explosion protection temperature class","CFIHOS-40000112",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","explosion protection zone","CFIHOS-40000113",,,"IEC 60529:2013",,,"STANDARD","CR0029;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","normal operating rotational speed","CFIHOS-40000283","RPM","RPM","API Std 546:2008",,,"STANDARD","CR0029;CR0032;FR60","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","normal output power","CFIHOS-40000292","KWT","K43",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","operation continuous intermittent","CFIHOS-40000309",,,,,,"STANDARD","CR0029","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","rated output power","CFIHOS-40000523","KWT","K43",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"alternating current motor","CFIHOS-30000805","rated voltage","CFIHOS-40000528","VLT","VLT",,,,"STANDARD","CR0029;CR0032","2019-10-01T01:04:06.792Z","2021-10-11T08:54:11.582Z",
"amplifier","CFIHOS-30000316","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"amplifier","CFIHOS-30000316","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"amplifier","CFIHOS-30000316","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analyser element","CFIHOS-30000105","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analyser element","CFIHOS-30000105","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analyser element","CFIHOS-30000105","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analyser element","CFIHOS-30000105","fluid name","CFIHOS-40000132",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analysing instrument","CFIHOS-30000106","explosion protection gas group","CFIHOS-40000110",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analysing instrument","CFIHOS-30000106","explosion protection temperature class","CFIHOS-40000112",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
"analysing instrument","CFIHOS-30000106","explosion protection zone","CFIHOS-40000113",,,,,,"STANDARD","CR0028","2019-05-14T08:38:36.409Z","2021-10-11T08:54:11.582Z",
