"picklist name","picklist value","picklist value description","CFIHOS unique id","source standard code","created date","modified date","terminated date","change request number","status"
"ATEX explosive atmosphere","GB","High Protection","CFIHOS-60001743","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","GC","Normal Protection","CFIHOS-60001741","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","GD",,"CFIHOS-60000546","DIRECTIVE 94/9/EC:1994","2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX explosive atmosphere","MA","Very High Protection","CFIHOS-60001744","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX explosive atmosphere","MB","High Protection","CFIHOS-60001745","EN 60079-0:2018","2019-05-14T09:22:54.502Z","2021-10-12T15:02:03.835Z",,"CR0028;FR69","STANDARD"
"ATEX group","I",,"CFIHOS-60000601",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ATEX group","II",,"CFIHOS-60000628",,"2017-02-13T23:00:15.177Z","2021-10-12T15:02:03.835Z",,"FR69","STANDARD"
"ISO country","AD","Andorra","CFIHOS-60002002","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AE","United Arab Emirates","CFIHOS-60002229","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AF","Afghanistan","CFIHOS-60001998","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AG","Antigua and Barbuda","CFIHOS-60002006","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AI","Anguilla","CFIHOS-60002004","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AL","Albania","CFIHOS-60001999","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AM","Armenia","CFIHOS-60002008","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AO","Angola","CFIHOS-60002003","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AQ","Antarctica","CFIHOS-60002005","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AR","Argentina","CFIHOS-60002007","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AS","American Samoa","CFIHOS-60002001","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AT","Austria","CFIHOS-60002011","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AU","Australia","CFIHOS-60002010","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AW","Aruba","CFIHOS-60002009","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AX","Åland Islands","CFIHOS-60002245","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","AZ","Azerbaijan","CFIHOS-60002012","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BA","Bosnia and Herzegovina","CFIHOS-60002025","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BB","Barbados","CFIHOS-60002016","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BD","Bangladesh","CFIHOS-60002015","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BE","Belgium","CFIHOS-60002018","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BF","Burkina Faso","CFIHOS-60002033","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BG","Bulgaria","CFIHOS-60002032","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BH","Bahrain","CFIHOS-60002014","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BI","Burundi","CFIHOS-60002034","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BJ","Benin","CFIHOS-60002020","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BL","Saint Barthélemy","CFIHOS-60002180","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","BM","Bermuda","CFIHOS-60002021","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","HR","Croatia","CFIHOS-60002053","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","HT","Haiti","CFIHOS-60002096","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","HU","Hungary","CFIHOS-60002100","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","ID","Indonesia","CFIHOS-60002103","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IE","Ireland","CFIHOS-60002106","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IL","Israel","CFIHOS-60002108","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IM","Isle of Man","CFIHOS-60002107","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IN","India","CFIHOS-60002102","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IO","British Indian Ocean Territory","CFIHOS-60002029","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IQ","Iraq","CFIHOS-60002105","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IR","Iran (Islamic Republic of)","CFIHOS-60002104","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IS","Iceland","CFIHOS-60002101","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","IT","Italy","CFIHOS-60002109","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","JE","Jersey","CFIHOS-60002112","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","JM","Jamaica","CFIHOS-60002110","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","JO","Jordan","CFIHOS-60002113","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","JP","Japan","CFIHOS-60002111","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KE","Kenya","CFIHOS-60002115","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KG","Kyrgyzstan","CFIHOS-60002118","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KH","Cambodia","CFIHOS-60002036","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KI","Kiribati","CFIHOS-60002116","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KM","Comoros","CFIHOS-60002049","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KN","Saint Kitts and Nevis","CFIHOS-60002182","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KP","Democratic People's Republic of Korea","CFIHOS-60002059","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KR","Republic of Korea","CFIHOS-60002174","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KW","Kuwait","CFIHOS-60002117","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KY","Cayman Islands","CFIHOS-60002039","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","KZ","Kazakhstan","CFIHOS-60002114","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LA","Lao People's Democratic Republic","CFIHOS-60002119","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LB","Lebanon","CFIHOS-60002121","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LC","Saint Lucia","CFIHOS-60002183","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LI","Liechtenstein","CFIHOS-60002125","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LK","Sri Lanka","CFIHOS-60002205","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LR","Liberia","CFIHOS-60002123","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LS","Lesotho","CFIHOS-60002122","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LT","Lithuania","CFIHOS-60002126","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LU","Luxembourg","CFIHOS-60002127","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LV","Latvia","CFIHOS-60002120","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","LY","Libya","CFIHOS-60002124","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MA","Morocco","CFIHOS-60002145","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MC","Monaco","CFIHOS-60002141","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MD","Republic of Moldova","CFIHOS-60002175","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","ME","Montenegro","CFIHOS-60002143","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MF","Saint Martin (French Part)","CFIHOS-60002184","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MG","Madagascar","CFIHOS-60002128","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MH","Marshall Islands","CFIHOS-60002134","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MK","The former Yugoslav Republic of Macedonia","CFIHOS-60002216","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","ML","Mali","CFIHOS-60002132","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MM","Myanmar","CFIHOS-60002147","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MN","Mongolia","CFIHOS-60002142","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MO","China, Macao Special Administrative Region","CFIHOS-60002045","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MP","Northern Mariana Islands","CFIHOS-60002159","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MQ","Martinique","CFIHOS-60002135","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MR","Mauritania","CFIHOS-60002136","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MS","Montserrat","CFIHOS-60002144","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MT","Malta","CFIHOS-60002133","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MU","Mauritius","CFIHOS-60002137","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MV","Maldives","CFIHOS-60002131","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MW","Malawi","CFIHOS-60002129","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MX","Mexico","CFIHOS-60002139","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MY","Malaysia","CFIHOS-60002130","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","MZ","Mozambique","CFIHOS-60002146","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NA","Namibia","CFIHOS-60002148","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NC","New Caledonia","CFIHOS-60002152","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NE","Niger","CFIHOS-60002155","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NF","Norfolk Island","CFIHOS-60002158","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NG","Nigeria","CFIHOS-60002156","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NI","Nicaragua","CFIHOS-60002154","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NL","Netherlands","CFIHOS-60002151","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NO","Norway","CFIHOS-60002160","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NP","Nepal","CFIHOS-60002150","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NR","Nauru","CFIHOS-60002149","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NU","Niue","CFIHOS-60002157","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","NZ","New Zealand","CFIHOS-60002153","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","OM","Oman","CFIHOS-60002161","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PA","Panama","CFIHOS-60002164","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PE","Peru","CFIHOS-60002167","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PF","French Polynesia","CFIHOS-60002078","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PG","Papua New Guinea","CFIHOS-60002165","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PH","Philippines","CFIHOS-60002168","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PK","Pakistan","CFIHOS-60002162","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PL","Poland","CFIHOS-60002170","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PM","Saint Pierre and Miquelon","CFIHOS-60002185","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PN","Pitcairn","CFIHOS-60002169","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PR","Puerto Rico","CFIHOS-60002172","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PS","State of Palestine","CFIHOS-60002206","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PT","Portugal","CFIHOS-60002171","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PW","Palau","CFIHOS-60002163","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","PY","Paraguay","CFIHOS-60002166","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","QA","Qatar","CFIHOS-60002173","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","RE","Réunion","CFIHOS-60002179","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","RO","Romania","CFIHOS-60002176","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","RS","Serbia","CFIHOS-60002192","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","RU","Russian Federation","CFIHOS-60002177","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","RW","Rwanda","CFIHOS-60002178","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SA","Saudi Arabia","CFIHOS-60002190","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SB","Solomon Islands","CFIHOS-60002199","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SC","Seychelles","CFIHOS-60002193","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SD","Sudan","CFIHOS-60002207","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SE","Sweden","CFIHOS-60002211","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SG","Singapore","CFIHOS-60002195","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SH","Saint Helena","CFIHOS-60002181","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SI","Slovenia","CFIHOS-60002198","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SJ","Svalbard and Jan Mayen Islands","CFIHOS-60002209","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SK","Slovakia","CFIHOS-60002197","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SL","Sierra Leone","CFIHOS-60002194","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SM","San Marino","CFIHOS-60002188","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SN","Senegal","CFIHOS-60002191","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SO","Somalia","CFIHOS-60002200","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SR","Suriname","CFIHOS-60002208","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SS","South Sudan","CFIHOS-60002203","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","ST","Sao Tome and Principe","CFIHOS-60002189","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SV","El Salvador","CFIHOS-60002067","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SX","Sint Maarten (Dutch part)","CFIHOS-60002196","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
"ISO country","SY","Syrian Arab Republic","CFIHOS-60002213","ISO 3166-1:2020","2020-11-27T14:55:03.646Z","2021-10-12T15:02:03.835Z",,"CR0032","STANDARD"
