"source standard code","source standard doc and data req number","source standard doc and data req title","source standard doc and data req typical deliverable","source standard doc and data req description","source standard doc and data req comment","document and data requirement type code","document and data requirement group code","engineering standard source chapter","discipline code","document type short code","default submit at proposal indicator","default submit for review indicator","default submit at delivery indicator","default issue for review number of weeks","default issue for review reference date","default issue for approval number of weeks","default issue for approval reference date","default for information number of weeks","default for information reference date","default required handover status code","default required translation indicator","deliverable format code","CFIHOS unique id","status","change request number","created date","modified date","terminated date"
"IOGP S-560:2016","S560-IR-117","INSPECTION AND TEST PLAN (ITP)","inspection and test plan",,,"equipment","technical information deliverables",,,"5733",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000112","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-118","ROUTINE VERIFICATION AND PERFORMANCE TEST PROCEDURE","test procedure",,,"equipment","technical information deliverables","S-560, Clauses 10, 11",,"6061",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000113","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-119","ECMS SIMULATION TEST PROCEDURE","test procedure",,,"equipment","technical information deliverables","S-560, Clause 11.101",,"6061",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000114","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-120","SITE ACCEPTANCE TEST PROCEDURE","site acceptance test procedure",,,"equipment","technical information deliverables",,,"9002",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000115","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-122","SPECIAL TOOLS LIST","special tools list",,,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000116","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-123","SPARE PARTS RECOMMENDATIONS","spare part list",,,"equipment","technical information deliverables",,,"4354",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000117","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-125","TYPE TEST / APPROVAL CERTIFICATES","type test report",,,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000118","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-127","ROUTINE VERIFICATION TEST REPORT","type test report","NOTE - FAT reports from factory acceptance tests.",,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000119","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-128","ECMS SIMULATION TEST REPORT","type test report",,,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000120","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-129","ROUTINE VERIFICATION (SITE ACCEPTANCE) TEST REPORT","type test report",,,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000121","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-131","INSTRUMENT TEST AND CALIBRATION CERTIFICATE","calibration certificate","NOTE - Manufacturers record of equipment used during routine verification.",,"equipment","technical information deliverables",,,"1458",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000122","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-132","LIFTING EQUIPMENT TEST CERTIFICATE","lifting equipment test certificate","NOTE - Withdrawable functional unit handling equipment.",,"equipment","technical information deliverables",,,"9006",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000123","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-133","CERTIFICATE OF CONFORMITY","approval certificate",,,"equipment","technical information deliverables","S-560, Clause 1",,"1401",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000124","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-135","CONCESSION REQUESTS","concession requests","NOTE - Deviations and concession requests which are identified from the requisition package, post placement of the purchase order and require approval by the User. Based on the User's system for Concession Requests.",,"equipment","technical information deliverables",,,"7205",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000125","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-137","DESPATCH DOSSIER","index of documents","NOTE - All necessary documents are provided for shipments and customs. Shall also include items such as the FAT report, punchlist items, items to be shipped loose, transport requirements and presevations requirements etc. User will agree contents list and",,"equipment","technical information deliverables",,,"4372",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000126","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-138","MANUFACTURING RECORD BOOK","manufacturer record book (mrb)","NOTE - Record book is a historical record of all sub-components within the PSC-Assembly, associated documentation and routine verification, held by Manufacturer for review by the User during manufacture of the PSC-Assembly. This may contain additional doc",,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000127","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-139","INSTRUCTION FOR HANDLING, INSTALLATION, OPERATION AND MAINTENANCE","installation manual, operating manual, maintenance manual","NOTE - Initial submission to be index for manuals followed by complete submission following FAT.",,"equipment","technical information deliverables","IEC61349-1, Clause 6.2.2",,"3328, 4811, 4810",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000128","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-141","HSE MANAGEMENT SYSTEM (PLANS, POLICY, COMPLIANCE)",,"NOTE - HSE plans covers the manufacturing and potentially the installation phase. It covers both User and Manufacturer's representatives in relation to the PSC-Assembly.",,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000129","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-143","MANUFACTURER TAG REGISTER (if applicable)","master tag-equipment register","NOTE - Schedule of data for all identified items within the PSC-Assembly. The formal structure of this will be agreed between User and Manufacturer.Requirements should be detailed in the requisition package.",,"equipment","technical information deliverables",,,"6612",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000130","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-84","SUPPLIER DELIVERABLES REGISTER (SDR)","master document register",,,"equipment","contract management information deliverables",,"JA","6611",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000131","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-85","FABRICATION PRODUCTION SCHEDULE","fabrication schedule",,,"equipment","contract management information deliverables",,,"5803",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000132","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-86","PROGRESS REPORT","progress report",,,"equipment","contract management information deliverables",,,"6944",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000133","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-87","BOUGHT OUT ITEMS LIST","bill of materials","NOTE - Covers Bill of Materials and can be provided as part of the Schematic Wiring Diagrams (3.2)",,"equipment","contract management information deliverables",,,"4306",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000134","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-89","PSC ASSEMBLY GENERAL ARRANGEMENT DRAWING","general arrangement diagram",,,"equipment","technical information deliverables",,,"4018",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000135","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-90","INTERFACE AND CONNECTION SCHEDULE","connection diagram","NOTE - Covers items such as network architecture, field interconnection diagrams etc",,"equipment","technical information deliverables","S-560, Clauses 3.10.4, 8.6.2.2",,"8804",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000136","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-92","SINGLE LINE ELECTRICAL DIAGRAM","single line diagram",,,"equipment","technical information deliverables",,,"2384",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000137","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-93","FUNCTIONAL UNIT SCHEMATIC DIAGRAM","schematic diagram",,,"equipment","technical information deliverables",,,"2580",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000138","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-94","UTILITIES SCHEDULE (Absorbed AC / DC power)","utility consumption report",,,"equipment","technical information deliverables",,,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000139","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-95","WEIGHT DATA SHEET","weight calculation",,,"equipment","technical information deliverables","S-560, Clause 7.3",,"1448",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000140","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-96","EQUIPMENT DATA SHEET","manufacturer datasheet",,,"equipment","technical information deliverables","S-560, Clause 5",,"2111",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000141","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-97","DETAILED DESCRIPTION OF OPERATION","functional design specification","NOTE - Details functional interlocking arrangement for PSC-Assembly where required.",,"equipment","technical information deliverables",,,"7770",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000142","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-98","HEAT DISSIPATION DATA","heat dissipation calculation & loads",,,"equipment","technical information deliverables","IEC 61439-1, Clause 10.10.4",,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000143","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-560:2016","S560-IR-99","FUNCTIONAL LOGIC DIAGRAM","logic diagram",,,"equipment","technical information deliverables","S-560, Clauses 3.10.11, 8.6.2.3",,"4780",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000144","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","API 6D #01","Design verification and validation report","third party design verification report","Design verification and validation report by certification body/agency",,"equipment","technical information deliverables","API 6D, Annex N(i)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000145","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","API 6D #02","Non-destructive examination procedures","non-destructive examination procedures","Define method, extent and acceptance levels of all NDE used to verify that materials and / or formed or welded fabrications comply with the Buyer's requirements. To include as applicable visual, radiographic, ultrasonic, magnetic particle, dye penetrant,",,"equipment","technical information deliverables","API 6D, Annex N(s)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000146","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","API 6D #03","Weld procedure specification","weld procdure specification","All Weld Procedure Specification (WPS) documents are required to be issued in a single submission, together with the respective Weld Procedure Qualification Records (WPQR) and a listing register to show status of approval qualification records.",,"equipment","technical information deliverables","API 6D, Annex N(x)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000147","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","API 6D #04","Weld procedure qualification records","weld procedure qualification records","Define all shop and field welding (including cladding / weld overlay) techniques and repair welding procedures in accordance with Code and Buyer's requirements.All Weld Procedure Specification (WPS) documents are required to be issued in a single submiss",,"equipment","technical information deliverables","API 6D, Annex N(u)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000148","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-562:2019","API 6D #05","Welder performance qualification records","welder performance qualification records","To define parameters, techniques and test results of all suppliers proposed welding procedures in compliance with Buyer's requirements. Suppler to use standard ASME, BS EN or AWS forms. Weld performance qualification records are to be cross-referenced to",,"equipment","technical information deliverables","API 6D, Annex N(y)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000149","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-562:2019","API 6D #06","Painting/coating certificates","enp / tungsten carbide hardfacing certification","Certificate to state the Buyer's PO number; item number, tag number, and is required to verify that painting and / or insulation is in accordance with the Buyer's specifications or the Buyer approved specifications, as applicable, showing intermediate coa",,"equipment","technical information deliverables","API 6D, Annex N(d)",,,"no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000150","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","API 6D #07","Non-destructive examination personnel qualification records","non-destructive examination personnel qualification records","Copies of Qualification Certificates for the technicians / operators signing certificates are required. NDE Operators are required to be qualified by an authorised qualification body such as PCN, CSWIP according to EN ISO 9712/ISO 9712.",,"equipment","technical information deliverables","API 6D, Annex N(r)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000151","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#01","Supplier master information schedule","information deliverables list","Schedule of specific information deliverables developed by the manufacturer and accepted by the purchaser to meet the information requirements defined in the agreed Information Requirements Specification (IRS).The schedule typically defines; a) informat",,"equipment","contract management information deliverables","Contract Requirement","JA","6611","no","no","yes",,"WAO",,"WAO",,,"AFC","no",,"CFIHOS-68000152","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#02","Delivery schedule","delivery/production schedule","Schedule depicting, as applicable to the service or product scope, design, supply, manufacture, inspection, testing and delivery activities to be executed by manufacturer/sub-suppliers.Schedule details typically**  include;.a) Contractual milestonesb)",,"equipment","contract management information deliverables","Contract Requirement",,"5805","yes","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000153","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#03","Progress report","progress report","Report detailing activities completed in the period, percent complete against planned, activities planned for the next period, risks/areas of concern, cause of any delays and proposed recovery plans, concessions, internal and outsourced inspection and aud",,"equipment","contract management information deliverables","Contract Requirement",,"6944","no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000154","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#04","Quality plan","quality plan","Plan specifying the actions, responsibilities and associated resources to be applied by the manufacturer, and when applicable sub-suppliers or manufacturers, to deliver the services or procured item(s) in conformance with the agreed requirements. ISO9001",,"equipment","contract management information deliverables","Contract Requirement",,"5798",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000155","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#06","Sub-supplier List","sub-supplier list","Definition of processes,  products or services that will be externally provided and the controls to be applied by the manufacturer to ensure conformance with agreed requirements. The list includes evidence of the basis of capability assessment , quality m",,"equipment","contract management information deliverables","Contract Requirement",,,,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000156","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#07","Inspection and test plan","inspection and test plan (itp)","Tabular presentation of a quality plan typically used  for process or product applications to define the specific sequence of operational activities, instructions, acceptance criteria records and associated manufacturer, purchaser and independent conformi",,"equipment","contract management information deliverables","Contract Requirement",,"5733",,"no","no",,,,,,,"AFD","yes",,"CFIHOS-68000157","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#08","Handling, shipping, storage and preservation procedure","handling, shipping and storage procedure","Definition of practices to be followed during the; storage, transport, lifting and preservation of the equipment and materials included in the scope of supply to maintain their  functionality and guarantees.Procedures typically define:a) Packaging requi",,"equipment","contract management information deliverables","Contract Requirement",,"6028","no","yes","yes",,,,,,"WAO","AFC","no",,"CFIHOS-68000158","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#09","Non-conformance records","nonconformance history","Details of  non-conformances raised by or to the manufacturer/sub-suppliers against  technical requirements prior to or during the delivery of the products or services. Non-conformance is managed by the manufacturer in accordance with ISO9001 Clause 8.7 a",,"equipment","contract management information deliverables","S-562, Table J4, 31",,"6918","no","yes","yes",,,,,,"WAO","AFC","no",,"CFIHOS-68000159","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","MD#10","Concession requests","concession request","Formal submission seeking purchaser agreement to accept deviations from the contracted scope or technical requirements. Requests may be raised as a result of, as examples, material or service availability, obsolescence, innovation, non-conformance.Reques",,"equipment","contract management information deliverables","S-562, Table J4, 32",,"7205","no","no","yes",,"WPTD",,"WPTD",,,"AFD","no",,"CFIHOS-68000160","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#01","General arrangement drawings","valve and operator drawing","Drawings presenting the main dimensions of the valves using 2D views, top-view, side-view and sometimes front-view.The manufacturer's standard general arrangement drawing is to be delivered.Typical information to be included as minimum (where applicable",,"equipment","technical information deliverables","S-562, Table J4, 1",,"4018","yes","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000161","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#02","Cross-sectional assembly drawings","valve and operator drawing","The manufacturer's standard detail cross sectional drawing is to be delivered, when following content requirements are met:- Part list with material description.- Part numbers can be included or delivered through recommended spare parts list, and is thu",,"equipment","technical information deliverables","S-562, Table J4, 2",,"4018","no","yes","yes",,,,,,"WAO","AFC","no",,"CFIHOS-68000162","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#03","Gearbox assembly drawings","gearbox drawing","Typical drawing of manual gearbox to include: - Seal design - Parts list including all parts of gearbox with functional part description and material standard used",,"equipment","technical information deliverables","S-562, Table J4, 3",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000163","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#04","Name plate drawing","nameplate drawing","Electronic version of Drawing of the nameplate used on valve (both native and PDF) will be provided by the manufacturer.",,"equipment","technical information deliverables","S-562, 11",,,"no","yes","yes",,,,,,"WPTD","AFC","no",,"CFIHOS-68000164","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#05","Design calculations","design calculations","Calculations confirming compliance with S-562 Par. 5.1, 5,19, 5.20, FEA report per 5.30 for applicable design and pressure/ratings combinations.",,"equipment","technical information deliverables","S-562, 5.1",,"1206","no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000165","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#06","Heat treatment procedures","heat treatment procedures","Detailed procedures defining processes which are subject to special control for compliance with Buyer's specification including heating, soaking, cooling and quenching parameters and furnace loading diagrams to ensure even heat distribution, limits of str",,"equipment","technical information deliverables","S-562, 13.1, c)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000166","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-562:2019","S-562#07","Pressure test procedures","pressure test procedures","Detailed procedures for compliance with Buyer's specifications including duration of test, quality of test medium, confirmation of no leakage.Note - Buyer specific approval required for all pneumatic testing.",,"equipment","technical information deliverables","S-562, 13.1, c)",,"6046","no","yes","yes",,,,,,"WPTT","AFD","no",,"CFIHOS-68000167","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-20T06:15:45.029Z",
"IOGP S-562:2019","S-562#08","Painting procedures","coating procedures","This is required to be supplied for all equipment and to include as a minimum: surface cleaning and preparation, environmental controls for both shop and field painting, lining (where applicable) and repairs to damaged coatings.",,"equipment","technical information deliverables","S-562, 13.1, c)",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000168","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#09","Installation, operation, and maintenance instructions","installation, operation and maintenance manual","The manufacturer's standard IOM manual is required to be delivered.This document is required toprovide sufficient information to install, operate and maintain the equipment.This document is required to also provide sufficient information for troubleshoo",,"equipment","technical information deliverables",,,"3328, 4811, 4810","no","yes","yes",,,,,,"WPTD","AFD","no",,"CFIHOS-68000169","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
"IOGP S-562:2019","S-562#10","Lifting points certification and handling Instructions.","certificates & instructions.","Lifting points SWL/load test certification and Lifting handling Instructions.",,"equipment","technical information deliverables","S-562, Table J4, 13",,,"no","yes","yes",,,,,,"WAO","AFD","no",,"CFIHOS-68000170","STANDARD","FR14;FR74","2021-10-07T06:42:31.278Z","2021-10-07T06:42:31.278Z",
