"CFIHOS unique id","discipline CFIHOS unique id","discipline code","discipline name","document type CFIHOS unique id","document type short code","document type name","document type description","discipline document type short code","asset type reference","representation type","native file delivery timing","native document fomat","authenticated record format","required document status for detailed engineering","required document status for construction","required document status for commissioning","required document status for startup","required document status for operations","review type","discipline document type comment","hardcopy document required","translated document required","status","created date","modified date","terminated date","change request number","synonym"
"CFIHOS-20000510","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000208","3341","manpower histogram","A diagram detailing current and predicted manpower through project broken down by trade/profession.","AA3341","Plant","Structured Data","not applicable",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000511","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000223","3347","minutes of meeting","A summary of a meeting highlighting attendees, status, committed action items and issues. Minutes of meetings between client and contractor as requested in contract procedures.","AA3347","Plant","Raster Image","during project",,,"IFI","IFI","IFI","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74","conference notes; meeting notes."
"CFIHOS-20000512","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000231","3352","organizational chart","A diagram represents an organisation of people, indicating roles and reporting lines in a tree-like structure. May include the names of individuals.","AA3352","Site","not specified","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000513","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000153","4018","general arrangement diagram","A diagram showing the main features and locations of major items. Usually has some dimensions to convey spatial relationships but is generally inadequate for construction.","AA4018","Plant","Intelligent vector drawing (CAD)","during project",,,"IFD","IFC","not specified","IAB","IAB","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000514","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000004","4301","action list","A collection of activities tracking responsible parties and status, including but not limited to punch lists, issues lists, and check lists.","AA4301","Plant","Structured Data","during project",,,"IFI","IFI","IFI","IFI","IFI","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000515","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000011","4303","applicable standards list","A collection of all applicable Company Standards, International, National and Industry Codes & Standards that are referenced in the Company Standards and project specific Specifications.","AA4303","Plant","Structured Data","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000516","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000126","4322","equipment list","A customized list developed to support discipline activities, extract from a Register that is used as a secondary reference (i.e. not the master). Considers all potential disciplines. Covers: conduits, panels, pipe supports, piping speciality items, lighting, etc.","AA4322","Plant","Structured Data","during project",,,"IFD","IFC","IFC","not specified","IAB","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000517","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000249","4880","general manual","A document that describes methods of working to be used to accomplish an activity. Synonym: Guide, Guideline. Warning: this should not be a compilation of other deliverables. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.","AA4880","Plant","not specified","at handover",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000518","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000254","5206","other picture","Photo or Illustration","AA5206","Equipment",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","FR27;FR74",
"CFIHOS-20000519","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000304","5529","project philosophy","Including buildings, access, drainage, corrosion/materials, electrical design, fire and gas, commissioning, isolation, maintenance, operations (inc. start-up/shutdown), earthing, HVAC, metering, process control, well control,  utility requirements and design.","AA5529","Plant","Text",,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000520","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000019","5706","assurance plan","A plan assuring that standards of quality are being met by systematically monitoring and evaluating the various aspects of deliverables vs standards.  Predecessor to Document Distribution Matrix.","AA5706","Plant","not specified","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000521","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000136","5726","field development plan","A plan providing an evaluation of field development alternatives together with the selection of an optimal development concept based on subsurface scenarios (uncertainty) and field engineering options.","AA5726","Site","Text","at handover",,,"IFU","IFU","not specified","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000522","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000273","5753","permit plan","A document capturing what particular activities and requirements will be executed and delivered to secure the appropriate regulatory permits and licenses required to allow project work, construction and eventual operations to take place.","AA5753","Plant","Text","not applicable",,,"not specified","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000523","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000302","5759","project control plan","A document capturing key project control execution plans applicable across the project scope.","AA5759","Plant","Text","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000524","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000317","5768","risk and opportunity management plan","A document capturing how risks and opportunities will be documented, communicated, managed, and closed.  Typically the plan is built upon a strategy.","AA5768","Plant","not specified","during project",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000525","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000376","5775","stakeholder engagement plan","A document capturing what particular activities and requirements will be executed and delivered to support effective communication with partners and external stakeholders.","AA5775","Plant","Text","during project",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000526","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000386","5778","sustainable development plan","A document capturing what particular activities and requirements will be executed and delivered to support a comprehensive development of the asset.  This includes but is not limited to Community Affairs, local content issues, societal effects of project, local business development, etc.","AA5778","Plant","not specified","during project",,,"IFU","IFU","not specified","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000527","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000350","5787","verification scheme",,"AA5787","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000528","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000404","5798","project plan","A document capturing key discipline execution plans applicable across the project scope (e.g., IM Plan, Execution Plan, Quality Plan).","AA5798","Plant","Text","not applicable",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000529","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000188","5800","interface plan","A document capturing what particular activities and requirements will be executed and delivered to mange interface between internal and external parties (esp. between contract scopes).","AA5800","Plant","Text","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000530","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000094","5806","discipline delivery plan","A consolidated document describing discipline specific activities and deliverables and their criticality to drive appropriate review processes.  This is a starting point for document distribution matrix stating quality assurance and control requirements.","AA5806","Plant","Text","not applicable",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000531","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000152","5878","gas and energy management plan","The Greenhouse Gas and Energy Management Plan (GHGEMP) is the main vehicle for integrating the different aspects of the management process, ensuring that timely and quality decisions are taken during the different ORP phases. As such, it should provide a structured and quantitative demonstration that the full range of TECOP issues related to GHG and Energy Efficiency has been considered during project development and an ALARP position has been fully evaluated. The GHGEMP is also a key deliverable required for CO2 functional support and the Decision Gate reviews.","AA5878","Plant","Text",,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000532","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000255","5880","general plan","A document capturing what particular activities and requirements will be executed and delivered.  Typically the plan is built upon a strategy.","AA5880","Plant","Text","not applicable",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000533","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000265","5980","general strategy","A document outlining the application of a philosophical stance for decisions and the resulting principles that are to be followed to achieve the intent. Typically developed based on a philosophy.","AA5980","Plant","Text","at handover",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000534","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000020","6003","assurance procedure","Quality, compliance, technical, value, cost and schedule assurance.","AA6003","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000535","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000042","6006","change control procedure","A procedure describing how changes through Design, Construction and Commissioning will be managed.","AA6006","Plant","Text","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000536","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000051","6048","communication procedure","A cross-discipline, internal and external communication procedure, responsibilities, and governance.","AA6048","Plant","Text","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000537","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000189","6069","interface procedure","A procedures around Interface management activities between internal and external parties.","AA6069","Plant","Text","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000538","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000080","6179","country regulation procedures","Procedures to develop country regulation specific documents or to submit this documents to regulatory authotities. See also AA7878 (TPD) and AA7877 (PSTS).","AA6179","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000539","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000395","6402","change proposal","A document which captures a recommended course of action with justifications from technical and/or commercial aspects to execute an activity to change something.  May lead to a change request.","AA6402","Plant","Text","not applicable",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000540","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000257","6480","general proposal","A document which captures a recommended course of action with justifications from technical and/or commercial aspects.","AA6480","Plant","Text","not applicable",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000541","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000023","6603","authority matrix","A list or register of people or organisations authorised to perform a range of tasks which may be technical, financial, contractual, organisational, or other. Includes Technical Authorities Matrix.","AA6603","Plant","Structured Data","during project",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000542","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000043","6605","change control register","A consolidated register of proposed and/or processed change associated with all change to originally agreed design scope/statement of requirements, including basis for design.","AA6605","Site","Text","during project",,,"IFI","IFI","IFI","IFI","IFI","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000543","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000122","6612","master tag-equipment register","An authoritative collection of values with a relationship to a specific equipment or tag.  The columns of this collection is specified and controlled.","AA6612","Tag","Structured Data",,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000544","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000195","6614","laws, regulations register",,"AA6614","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000545","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000319","6619","risk, opportunity register","An authoritative collection of items with a relationship to risks and/or opportunities which have a potential to impact overall project performance.  The columns of this collection are specified and controlled.","AA6619","Plant","Structured Data","during project",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000546","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000190","6627","interface register","A register documenting agreements and responsibilities between internal and external parties (esp. between contract scopes).  An overview of all communications (also called interface queries) and their status between two parties for the management of interface communication.","AA6627","Plant","Text","during project",,,"IFI","IFI","IFI","not specified","IFI","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000547","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000258","6680","general register","An authoritative collection of values with a relationship to a specific topic or object that could be either technical or business related.  The columns of this collection are specified and controlled.","AA6680","Plant","Structured Data","during project",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000548","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000104","6844","economics study",,"AA6844","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000549","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000230","6926","opportunity framing report","Workshop, MOM, whitepapers, studies, brainstorm session etc.","AA6926","Plant","Text","not applicable",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000550","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000300","6944","progress report","A report documenting progress made against a previously communicated plan or schedule.  Progress Reports can address time, scope, money, etc.","AA6944","Site","Text","not applicable",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000551","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000301","6945","project closeout report",,"AA6945","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000552","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000259","7180","general report","A written account of activities, conditions, occurrences, observations, or investigations at a specific time. Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type. May include presentation.","AA7180","Plant","Text","at handover",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
"CFIHOS-20000553","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000353","7202","waiver request","Request, approval or rejection for the relaxation of an element of the particular regulatory Code, Standard, Rule or Regulation where such element conflicts with the International Code or Standard proposed for the facilities.","AA7202","Plant","Text","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000554","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000389","7205","technical deviation request","A request, approval or rejection of changes to a technical specification. Would typically include justification and reasons for the request, and acceptance or rejection from a purely technical perspective. Synonym: Concession, Change Request.","AA7205","Plant","Text","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000555","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000092","7403","design review report","A report documenting verification of a design, based on comparison with standards, constructability, operability, safety, etc. May be performed by internal or external resources.","AA7403","Process_Unit","Text","during project",,,"IFU","IFU","not specified","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000556","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000345","7415","value assurance review report","OPMG: Provides confidence that the opportunity team has done everything necessary to take the decision that all the significant risks, opportunities and uncertainties have been identified and can be managed, and that work has been completed to the necessary quality so that the project is not unnecessarily exposed. Synonym VAR, AGR Assurance Gate Review.  Post Implementation Review PIR, and Post Investment Review are defined as Value Assurance Review VAR5.  Also see FA Other Assurance Review Report for Estimate and Schedule Assurance Review ESAR.","AA7415","Plant","Text",,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000557","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000197","7417","lessons learned report","A report which documents lessons gained from the execution of the project.","AA7417","Plant","Text","during project",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000558","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000261","7480","general review report","A report documenting results of a review.  Not to be used if a more specific document type can be used.  Can be used for singular/specialty deliverables which do not have a unique document type.","AA7480","Plant","Text","during project",,,"not specified","not specified","not specified","not specified","not specified","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000559","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000024","7704","basis of design","A document outlining the premise for decisions and the resulting principles that are to be followed regarding the design of the facility and comprising all process design philosophies including but not limited to environmental, drainage, ventilation, spading/isolation, plant availability/down time assessment and relief/blowdown philosophy etc.","AA7704","Plant","Text","at handover",,,"IFD","IFD","not specified","not specified","IFD","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000560","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000405","7739","project functional specification","A specification describing scope and objectives of the project and its execution; details to be provided by Owner Operator.","AA7739","Plant","Text","at handover",,,"IFU","IFU","not specified","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000561","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000331","7753","terms of reference","A document capturing scope and details of the activity to which it refers and any conditions relating to the appointment of a person(s) to undertake the activity. Includes the distribution of work, schedule and the responsibilities among the people participating in an evaluation process.","AA7753","Plant","Text","at handover",,,"IFU","IFU","IFU","IFU","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000562","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000100","7772","drafting specification","Rules and conventions for preparing drawings, including symbol lists, etc. may include templates.","AA7772","Site","Text","at handover",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;FR27;FR74",
"CFIHOS-20000563","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000187","7875","interface document","The information in  the interface register (see AA6627), interface diagram (see **2341) and tie-in list (see **4363) are combined in an Interface Document. This document establishes a comprehensive coherent and transparent overview for all interfaces between two execution contract. This document is included within the corresponding ITTs.","AA7875","Plant",,,,,,,,,,"not specified",,,,"TERMINATED","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z","2021-10-14T10:00:28.825Z","CR0027;FR74",
"CFIHOS-20000564","CFIHOS-20000001","AA","project management and engineering","CFIHOS-70000081","7877","country regulation specific standard","A specific standard documenting additional design, construction, work process, and documentation of plant as required by local regulations. This document type shall not be used to classify the engineering technical standards (e.g. API, ISO, etc.).","AA7877","Plant","not specified","not applicable",,,"IFU","IFU","IFU","not specified","IFU","not specified",,,,"STANDARD","2017-02-13T21:51:20.370Z","2021-10-14T10:00:28.825Z",,"CR0027;CR0030;FR27;FR74",
