"document type short code","document type name","document type description","document type classification code","CFIHOS unique id","synonym","created date","modified date","terminated date","change request number","status"
"8502","clarification request","Request (e.g., from a Contractor) for clarification of scope, technical details, or assumptions. Synonyms include Technical Query (TQ) and Request for Information (RFI).","CONT","CFIHOS-70000045",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6820","closeout report","Provides an overview what has been done, what has been delivered and an overview of actions left or still in progress. For projects use the specific document type Project Closeout Report (DT 6945).",,"CFIHOS-70000046",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5711","commissioning and startup plan","A plan explaining how commissioning and startup will be accomplished. synonym: CSU plan.",,"CFIHOS-70000047",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5799","commissioning and startup strategy","A document outlining purpose and approach for commissioning and start-up.","CONT","CFIHOS-70000048",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4802","commissioning manual","Is a manual that contains detailed testing and commissioning procedures and actions. Typically for instrumentation it is specified for each loop and type of instrument.",,"CFIHOS-70000049",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5503","commissioning philosophy","Commissioning",,"CFIHOS-70000050",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6048","communication procedure","A cross-discipline, internal and external communication procedure, responsibilities, and governance.","CONT","CFIHOS-70000051",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3314","conceptual design assumptions for asset decommissioning",,,"CFIHOS-70000052",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8211","conceptual design feasibility study","Initial screening, feasibility studies, initial estimates, preliminary economics etc.",,"CFIHOS-70000053",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8212","conceptual engineering study","Workshop, MOM, whitepapers, surface and sub-surface studies, brainstorm session, economics, initial cost estimates, development options",,"CFIHOS-70000054",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8804","connection diagram","A diagram showing details of cable numbers and terminations point to point (e.g., to/from vendor packages, equipment).","CONT","CFIHOS-70000055",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"2406","constructability diagram","Construct is to Erect, Build, or Make (usually) on-site as a responsibility of the project team. Also see Fabricate (off-site by others). eg. Vertical storage tanks are Constructed on-site, while some accessories are Fabricated off-site and delivered for construction.   Decomposition of a complex objects/concepts into simpler pieces that make construction feasible. A macro view of construction concepts and strategies represented by a diagram. e.g.  Module diagrams (showing breakdown into PAUs, subassemblies, skids, etc.), Installation sequence diagrams, Module off loading diagram. For detailed construction Diagram see document type BA2404.",,"CFIHOS-70000056",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2404","construction diagram","A diagram detailing assembly and fabrication.","DOCT","CFIHOS-70000057",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5537","construction philosophy","Construct is to Erect, Build, or Make (usually) on-site as a responsibility of the project team. Also see Fabricate (off-site by others). eg. Vertical storage tanks are Constructed on-site, while some accessories are Fabricated off-site and delivered for construction.",,"CFIHOS-70000058",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6070","construction procedure","Construct is to Erect, Build, or Make (usually) on-site as a responsibility of the project team. Also see Fabricate (off-site by others). eg. Vertical storage tanks are Constructed on-site, while some accessories are Fabricated off-site and delivered for construction.",,"CFIHOS-70000059",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5802","construction schedule","A time-based document outlining sequence and duration of activities related to the completion of construction scope.  Construction includes site erection and assembly but not fabrication at third party sites.","DOCT","CFIHOS-70000060",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7756","construction specification","Construct is to Erect, Build, or Make (usually) on-site as a responsibility of the project team. Also see Fabricate (off-site by others). eg. Vertical storage tanks are Constructed on-site, while some accessories are Fabricated off-site and delivered for construction.",,"CFIHOS-70000061",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"8382","constructability study","A document assessing sequence and method of construction of a facility to determine the best way to proceed.","CONT","CFIHOS-70000062",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"0403","contract","A binding document which records a agreement and its related mutual obligations and commitments. Typically having effect on a project or the future life of a facility. For example a sales contract, maintenance contract, etc.","CONT","CFIHOS-70000063",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5505","control philosophy","A document outlining the premise and intent for start-up and shutdown for process control. May also list instrument and control equipment, pre-alarm and shutdown alarm/trip requirements, failure modes of valves and equipment and type of signals to and from the control logic. Basis to develop more detailed control narrative.","CONT","CFIHOS-70000064",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"0901","control system block diagram","Pictorial representation of the processes performed by a control system.",,"CFIHOS-70000065",,"2017-02-13T21:17:17.546Z","2021-10-04T22:14:41.364Z","2021-10-04T22:14:41.364Z","CR0027","TERMINATED"
"2312","control system diagram","A pictorial representation of the main elements and functions of a control circuit/system with input/output sources (switches, relays etc.) and their relationships. Details logic functions of the circuit/system. I/O loading and cabinet layouts.","CONT","CFIHOS-70000066",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7709","control system functional specification","Functional Description of Integrated Control and Safeguarding System",,"CFIHOS-70000067",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"7710","control, safeguarding specification",,,"CFIHOS-70000068",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"1003","corporate authority for expenditure","Investment Proposal to allocate funds to a project. Also see Budget Proposal for distribution of funds within a project.",,"CFIHOS-70000069",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6830","corrective action report","A report detailing  actions to be taken to improve a process resulting from an audit or Quality Assessment.","CONT","CFIHOS-70000070",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1780","correspondence","Any form of written communication sent or received in the course of affairs including transmittals, letters, postcards, memoranda, electronic mail, facsimiles, telegrams or cables.","DOCT","CFIHOS-70000071",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6919","chemical selection report","Detailed report from results of corrosion inhibition, hydrates, flow assurance, etc testing plan. Includes any preliminary testing required to establish parameters for testing.","CONT","CFIHOS-70000072",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7769","corrosion inhibition system design","Design requirements for corrosion inhibition based on Corrosion inhibition report (See RA6919).",,"CFIHOS-70000073",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5770","chemical testing plan","A document capturing parameters and requirements to validate selection of chemicals including but not limited to corrosion inhibitors, hydrate inhibitors, and  flow assurance chemicals.","CONT","CFIHOS-70000074",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5519","corrosion philosophy","Outlines the design rules and principles relating to corrosion (eg. material selection, allowances, mitigation techniques).",,"CFIHOS-70000075",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6015","cost control procedure","A procedure for monitoring, controlling and reporting expenditures.","CONT","CFIHOS-70000076",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6833","cost report","A report of all costs incurred over a period of time.","DOCT","CFIHOS-70000077",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6834","cost time resource estimate report","Estimate of resources (people and money) required to produce certain deliverables, typically associated with scope change. Often becomes the basis for an agreement or a contract. Synonym CTR.","CONT","CFIHOS-70000078",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1453","regulatory compliance certificate","A document certifying conformity to local regulations which accompanies shipment of equipment and/or goods. e.g., Official certificate issued by OEM/Supplier or approved licensed agent of OEM/Supplier.","CONT","CFIHOS-70000079",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6179","country regulation procedures","Procedures to develop country regulation specific documents or to submit this documents to regulatory authotities. See also AA7878 (TPD) and AA7877 (PSTS).",,"CFIHOS-70000080",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"7877","country regulation specific standard","A specific standard documenting additional design, construction, work process, and documentation of plant as required by local regulations. This document type shall not be used to classify the engineering technical standards (e.g. API, ISO, etc.).","CONT","CFIHOS-70000081",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"7878","country regulation technical project documentation book","A technical document describing the facilities that are proposed to be built in a country and includes all information required for regulatory approval to proceed. The document is submitted to the regulatory authorities for review and approval.","CONT","CFIHOS-70000082",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1979","database and data set","Data stored in a proprietary (e.g. SPI Watcom) or neutral (e.g. CSV) format from which multiple information contents can be generated by computer software (e.g. EDW). Includes 3D Model.","DOCT","CFIHOS-70000083",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"5801","decommissioning plan","A document capturing what particular activities and requirements will be executed and delivered to decommission and demolish (parts of) existing assets. This would include temporary assets required only for the life of the project, as well.","CONT","CFIHOS-70000084",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"3322","demonstration note on compliance","A document that demonstrates that the design meets the Process Safety Basic Requirements (PSBR) of DEM 2 with evidences and references to documents.","CONT","CFIHOS-70000085",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"1206","design calculation","A calculations prepared in order to prove that the item of equipment or system selected meets the design criteria.","DOCT","CFIHOS-70000086",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"8240","design cases study","A document capturing model output defining the process design cases and sensitivity cases for process modelling.","CONT","CFIHOS-70000087",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"7506","design hse case","A document outlining purpose and approach for a HSE design. Demonstrates ALARP.","CONT","CFIHOS-70000088",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8218","design layout study","A document assessing different physical configurations of a set of equipment and explaining the rationale supporting the adoption of a particular layout.","DOCT","CFIHOS-70000089",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"8372","design parameter study","Usually concerns data interpretation and determining design parameters for foundation design or environmental purposes. Includes soil, rock, minerals and organic matter.",,"CFIHOS-70000090",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5507","design philosophy","A document outlining the premise and intent for decisions that are to be followed regarding a design. A set of ideas, beliefs, or underlying theory.","DOCT","CFIHOS-70000091",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"7403","design review report","A report documenting verification of a design, based on comparison with standards, constructability, operability, safety, etc. May be performed by internal or external resources.","DOCT","CFIHOS-70000092",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"3331","design summary","A document explaining how the design of a major part of a facility has been conducted in accordance with the design philosophy.  It presents the essential characteristics (e.g. design properties, operating conditions) of the facility designed, and makes references to other documents giving more detailed information about the design. This document type can be used to classify documents like pipeline design report, riser design report.",,"CFIHOS-70000093",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"5806","discipline delivery plan","A consolidated document describing discipline specific activities and deliverables and their criticality to drive appropriate review processes.  This is a starting point for document distribution matrix stating quality assurance and control requirements.","CONT","CFIHOS-70000094",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"4319","distribution board list","Shall list the lighting and small power loads connected to a distribution board.  Description shall include fuse sizes, terminal sizes and switching arrangements.",,"CFIHOS-70000095",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"6610","document distribution matrix","A document providing an overview of distribution (workflow) process for information. Often a report out of a electronic document management system.","CONT","CFIHOS-70000096","information distribution matrix (IDM)","2017-02-13T21:17:17.546Z","2021-10-04T18:53:34.661Z",,"CR0027;CR0030","STANDARD"
"7712","information requirements specification","Specification of the Information types required by the owner for delivery and handover.","CONT","CFIHOS-70000097",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR16;FR27","STANDARD"
"6017","document, data control procedure","A procedure specifically for document and data control (IM). Includes Document Control charts and other procedure components.","CONT","CFIHOS-70000098",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6611","master document register","A register (at Document, not Document Type level) of the information delivered on the project, including all deliverables which receive a document number including but not limited to drawings, lists, applications, databases, and models provided by Contractor or Vendor to satisfy Company requirements.","CONT","CFIHOS-70000099",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030;FR27","STANDARD"
"7772","drafting specification","Rules and conventions for preparing drawings, including symbol lists, etc. may include templates.","CONT","CFIHOS-70000100",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"5720","drilling plan","Typically includes a list of wells and when they are planned to be drilled.",,"CFIHOS-70000101",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2409","ducting and instrument diagram","A schematic representation of an HVAC system indicating all HVAC equipment items and their control interfaces.  Abbreviation is typically D&ID.","CONT","CFIHOS-70000102",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;CR0030","STANDARD"
"8809","earthing diagram","A diagram detailing earthing (grounding) for plant and equipment and between modules and dissimilar structural elements.","CONT","CFIHOS-70000103",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"6844","economics study",,,"CFIHOS-70000104",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"2318","emergency exits diagram","A diagram detailing escape routes, means of emergency escape/egress.","CONT","CFIHOS-70000105",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027;FR27","STANDARD"
"6019","emergency response procedure","A procedure detailing how the facility would respond to an emergency and how personnel would be able to evacuate. As defined for Facilities Operations and for Pipeline Operations.","CONT","CFIHOS-70000106",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
"8223","emissions and exhaust study","Study related to the dispersion of emissions and exhaust from compressors and other machinery.",,"CFIHOS-70000107",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z","2021-10-04T18:47:31.690Z","CR0027","TERMINATED"
"1909","emissions report","A report detailing accumulated environmental emissions over a set period of time.","CONT","CFIHOS-70000108",,"2017-02-13T21:17:17.546Z","2021-10-04T18:47:31.690Z",,"CR0027","STANDARD"
