Name	Origin	Definition	Business_Domain	Data_Domain
Galaxy (Exploration) [S - GALAXY]	HQ	Financial database gathering financial information in E&amp;P. Only exploration financial data are currently modeled in GIDEA.	Business & Economics	FINANCE & CONTROL
New Ventures Platform [EXPLO-NVP]	HQ	Monitoring of new exploratory ventures retrieving internal (Gesper and Fortuna) and external (IHS) data. This application allows to detect and characterize new opportunities based upon geosciences, contract, evaluation milestones and budget information	Business & Economics	FINANCE & CONTROL
PRIME [PRIME]	HQ	Reserves management	Business & Economics	FINANCE & CONTROL
Fortuna [FORTUNA]	HQ	Management of project costs and budget	Business & Economics	FINANCE & CONTROL
Competitors Cruncher [COMPETITORS CRUNCHER]	HQ	Application allowing to find information on exploration/appraisal assets such as company ownerships (well, field, block)	Business & Economics	FINANCE & CONTROL
Exploration Data Warehouse [EXPLO-DWH]	HQ	Virtual database filtering the most relevant data values from S3P or EXPLO databases and applications.	Business & Economics	FINANCE & CONTROL
EsopX [GEOX]	HQ	Application EsopX - Management of prospects.	Business & Economics	FINANCE & CONTROL
Gesper [GESPER]	HQ	"Gesper database. Contracts and financial assets database. Corporate database.
{ Gesper Version ? , Reverse  2014.01 }"	Business & Economics	FINANCE & CONTROL
Titan [TITAN]	HQ	TITAN is the interface with plugins (buttons) allowing to launch the Diva utility to conduct imaging jobs. This interface is made to manage data easily and lauch Diva utility with more user-friendly way than the command lines.	Geophysics	GEOPHYSICAL DATA
COHIBA	HQ		Geophysics	GEOPHYSICAL DATA
Jigsaw [JIGSAW]	HQ	Jigsaw (Joint Inversion of Geostatistics, Seismic and Wells) is an innovative and unique inversion tool for integrated geoscience, developed by Maersk Oil. Seismic inversion is a vital technology for incorporating highly heterogeneous parameters, such as carbonate porosity, into a reservoir model.	Geophysics	GEOPHYSICAL DATA
Geophysical Data Reporting [GEOPHYSICS DATA REPORTING]	HQ	The aim of the application is to centralize the reporting made by various EXPLO entities (MTG, Hubs, affiliates,&hellip;) on Geophysical Operation projects.	Geophysics	GEOPHYSICAL DATA
Teledetection	HQ	Teledetection : Processing of data provided by satellite images.	Geophysics	GEOPHYSICAL DATA
Microseismic [MICROSEISMIC]	HQ	Microseismic: geophysics data provided from microseismic campaign.	Geophysics	GEOPHYSICAL DATA
ELectroMag	HQ	Electro Magnetism: geophysics data provided from electro magnetic campaign.	Geophysics	GEOPHYSICAL DATA
GravMag	HQ	Gravimetry and Magnetism : geophysics data provided from gravimetric or magnetism campaign.	Geophysics	GEOPHYSICAL DATA
Websis	HQ	Websis portal:  presentation of seismic survey (acquisition surveys most of time) and associated properties like HSE, audits, acquisition parameters...	Geophysics	GEOPHYSICAL DATA
Petrovision [PETROVISION]	HQ	Application Petrovision: Seismic surveys, acquisition 2D and 3D/4D, processed 2D and 3D/4D. Speciality database.	Geophysics	GEOPHYSICAL DATA
Sismage [SISMAGE]	HQ	"Sismage is a suite of interpretation tools, including Fault definition, 3D tracking, Seismic reservoir characterization.
{ CIG -Sismage Version Aneto III  2014.09  et extensions III  WFT Corba}"	Well Interpreted Data	GEOSCIENCES WELL DATA & OPERATIONS
Recall [GWELL]	HQ	GWELL (Recall) - geoscience data federation platform - well log database	Well Interpreted Data	GEOSCIENCES WELL DATA & OPERATIONS
Geolog [GEOLOG]	Angola	"Geolog is a versatile tool capable of loading and managing a multitude of well logs to assist in the petrophysical interpretation of wells.
All types of well data can be stored in the system, including core, wireline and LWD measurements, and supporting lithologic, geologic and stratigraphic information."	Well Interpreted Data	GEOSCIENCES WELL DATA & OPERATIONS
KOMPASS [KOMPASS]	HQ	"KOMPASS is a transverse and integrated GIS viewer (Geographical Information System) and a web-based portal, at E&amp;P level and beyond, to present and manage the shared geographical information available.
It allows users to visualize, and play with data or create maps focus on dedicated subject.
Each application has a dedicated subject (HSE, SAFETY, OPERATIONS, etc)"	Geospatial	GEOSPATIAL
Geodesy DB [GEODESYDB]	HQ	Geodesy DB (GDB) is a web (Cloud) application that aims to gather geodetic data historically used by TOTAL. In addition, the application stores the data in EPSG format in order to be able to publish the EPSG data as well.	Geospatial	GEOSPATIAL
MDM Country	HQ	Master Data Management Country.	Geospatial	GEOSPATIAL
Geodata [GEODATA]	HQ	Geodata : Geodesy reference database.	Geospatial	GEOSPATIAL
Global Mapper [GLOBAL MAPPER]	Angola	Global mapper is a Geographical information system - viewer for displaying the most popular raster elevation and vector datasets. It can also convert - edit - print - track gps and utilize gis functionality on your datasets.	Geospatial	GEOSPATIAL
Mihieto [MIHIETO]	HQ	Mihieto is a decision support tool to compare the cost and effectiveness of different impact avoidance, mitigation, restoration and compensation (E-R-Res-C) measures. The objective of these measures is to reduce the environmental footprint as much as possible.	Safety Health Environment & Quality	HSEQ
SQMT [SQMT]	HQ	SQMT is a web and cloud oriented application (hosted on azure), based on business intelligence tools and interactive visualization features, user friendly and available everywhere (drilling rig site, affiliate office and HQ) in respect of total security policy (secure data storage and access). It provides a structured platform to capture efficiently reliable performance data, anytime and everywhere, available for affiliates, HQ and stakeholders. This platform proposed results visualization tools at different levels of consolidation (affiliate, region, world) and monitoring capabilities to be able to react quickly and set up the appropriate action plan for HSE and cost saving purposes.	Safety Health Environment & Quality	HSEQ
MySafety	HQ	#MySafetyis a professional app for reporting HSE observations and managing their life cycle, from creation and task allocation to monitoring and closure	Safety Health Environment & Quality	HSEQ
ePermit [E-PERMIT]	HQ	The Electronic Permit to Work is a computer-based work flow system, to process and administrate permits to work. It integrates the Permits, Risk Assessments and isolations management.	Safety Health Environment & Quality	HSEQ
SAFEPASS	HQ	"This tool allows employees to view the HSE training required to hold their position, in accordance with CR EP EXP 754,
- or anticipate the mandatory training for a future assignment within the Operation.
- the statistical processing of the data it contains, by individual and by group of individuals. A manager can therefore view the situation of his team and follow the courses and the rate of completion of mandatory training.
- view the situation by standard position or by compulsory training."	Safety Health Environment & Quality	HSEQ
Pl@net [S - PLANET]	HQ	Planet is a application aiming at managing environmental campaigns (monthly, annual, specific) upon various entities through the use of environmental indicators.	Safety Health Environment & Quality	HSEQ
Synergi [S - SYNERGI]	HQ	Synergi is EP's HSE reporting system. The tool is used to manage actions associated with risks in operation.	Safety Health Environment & Quality	HSEQ
SiPass Integrated [SIPASS CLIENT]	Angola	SiPass Integrated is an access control and management tool that is particularly well suited for environments where information is highly sensitive and risks are high. This tool allows to manage the rights of the different employees (access card) and to obtain a traceability of the entries and exits in the various regulated zones by managing several tens of thousands of doors, gates, barriers and elevators on many sites in the world.	Safety Health Environment & Quality	HSEQ
ePermit [E-PERMIT]	Angola	The Electronic Permit to Work is a computer-based work flow system, to process and administrate permits to work. It integrates the Permits, Risk Assessments and isolations management.	Safety Health Environment & Quality	HSEQ
OPSEALOG	HQ	Performance Management for Marine Offshore Logistics. Opsealog helps Oil &amp; Gas Operators around the world generate tangible savings in Marine Offshore Logistics.	Logistics & Operational Support	INDUSTRIAL LOGISTICS
SAP Remote Logistics Management (SAP RLM) [SAP_RLM]	HQ	Remote Logistics Management (RLM) provides functions for supplying materials from base locations to remote locations (offshore oil platforms).	Logistics & Operational Support	INDUSTRIAL LOGISTICS
SAP Materials Management (SAP MM) [SAP_MM - Material Management]	HQ	"Materials Management module is the main tool to:
- Stock management
- Purchasing and supply management"	Logistics & Operational Support	INDUSTRIAL LOGISTICS
Kimoce [S - SI MAGASIN]	Angola	Computerized Maintenance Management Software (GMAO/CMMS) for Facility Managers.	Logistics & Operational Support	INDUSTRIAL LOGISTICS
DaWinci [DAWINCI]	Angola	DaWinci is the industry solution for safeguarding transport, tracking and accommodation of personnel	Logistics & Operational Support	INDUSTRIAL LOGISTICS
EODA [EODA]	HQ	EODA is a worldwide source rock geochemical database incorporating public and patrimonial data (mainly bulk pyrolysis, optical microscopy, bulk elemental data and subsidiary thermal and isotope data). The EODA raw geochemical data are used for interpreting the source-rock potential in the Golden DB.	Fluid Sample	LAB DATA
Smile [SMILE-LABS]	HQ	SMILE = LIMS (Laboratory Integrated Management System) for the EP affiliates	Fluid Sample	LAB DATA
T-SliCe [T-SLICE]	HQ	Total Slide Center: Centralized management of thin section and associated information	Rock Sample	LAB DATA
Basil [BASIL]	HQ	Logical data model of Basil. This application is a Laboratory Information Management System (LIMS). It is software that allows you to effectively manage samples and associated data to improve lab efficiency.	Fluid Sample	LAB DATA
ICAR [ICAR]	HQ	ICAR : core numerical images.	Rock Sample	LAB DATA
CoreDb [COREDB]	HQ	CoreDB application: experiments on core and rock samples. Petrophysics data.	Rock Sample	LAB DATA
Smile [SMILE-LABS]	Angola	SMILE = LIMS (Laboratory Integrated Management System) for the EP affiliates	Fluid Sample	LAB DATA
NPDMS [ENERGY COMPONENTS]	HQ		Production Data	PRODUCTION PERFORMANCE
WIDE [WIDE]	HQ	"WiDE monitors the validity of sensor measurement in whichever &lsquo;process state&rsquo; the production system is currently in and detects device failure or degradation in equipment/process performances.
Critical information that is generated is highlighted to monitoring engineers in almost real-time and allows early decisions to be made so that safe, efficient operations can continue and remedial action, where necessary, can be planned.
WiDE allows to organize measurements in a flexible asset model and easily define equations and KPIs through Python scripts. These scripts can easily be saved in libraries shared throughout various models and applications."	Production Data	PRODUCTION PERFORMANCE
PI-AF (Plant Information - Asset Framework) [PI-AF]	HQ	PI Asset Framework (PI AF) is a single repository for asset-centric models, hierarchies, objects, and equipment. It integrates, contextualizes, refines, references, and further analyzes data from multiple sources, including one or more PI Data Archives and non-PI sources such as external relational databases. Together, these metadata and time series data provide a detailed description of equipment or assets.	Production Data	PRODUCTION PERFORMANCE
PI (Plant Information) [PI EP]	HQ	PI Builder is a part of the PI AF Client or PI AF Services installation. PI Builder lets you use to create, view, and modify objects in your PI Asset Framework (PI AF) database or PI points in your PI Data Archive server.	Production Data	PRODUCTION PERFORMANCE
FORS [FORS]	HQ	FORS is a web application to collect and report on the main production data - facts and performance indicators from production department in affiliates. Usage by all producing affiliate is mandatory.	Production Data	PRODUCTION PERFORMANCE
Digital Oil Field (DOF) [DOF]	HQ	Digital Oil Field : Rational field production decision through the use of integrated Models-Workflows.	Production Data	PRODUCTION PERFORMANCE
Daily Site Dashboard (DSD) [DAILYSITEDASHBOARD]	Angola	Daily Site Dashboard (DSD) is a solution developed by Total in order to allow production sites to make their daily reports and to share it with the affiliate base.	Production Data	PRODUCTION PERFORMANCE
INTERSECT [INTERSECT]	HQ	The INTERSECT suite consists of an advanced fully-featured reservoir simulator, a Field Management control system and Migrator, which converts ECLIPSE input files into the required format to run with INTERSECT.	Reservoir Engineering	RESERVOIR
Petrel [PETREL]	HQ	Petrel : Software platform providing a full range of tools to solve the most complex structural and stratigraphic challenges.	Reservoir Engineering	RESERVOIR
Shine [SHINE]	HQ	Seismic Hydrocarbon Indicator Evaluation. The SHINE (Seismic Hydrocarbon INdicator Evaluation) spreadsheet is a questionnaire associated with a scoring system, which aims at qualifying a seismic anomaly (Amplitude anomaly, AVO anomaly and/or Flat-spot) as DHI (Direct Hydrocarbon Indicator).	Reservoir Engineering	RESERVOIR
T-MORE [T-MORE]	HQ	"T-MoRe is main Total reservoir/production database. The aim of this application is to :
- Establish a reservoir data repository, and to provide access to the data via a centralized tool in each subsidiary (used by reservoir engineers),
- Manage and validate the data through a user friendly and powerful interface,
- Standardize the analysis and reservoir data model from one subsidiary to another and from one asset to another,
- Facilitate arrival on an asset of a new reservoir engineer for an effective integration."	Reservoir Engineering	RESERVOIR
Saphir [KAPPA WORKSTATION]	Angola	"Saphir offers a unique combination of analysis tools, analytical models and numerical models which can connect to other dynamic data application such as Topaze for Rate Transient Analysis and Rubis for fullfield history matching.

Pressure Transient Analysis, or PTA, is, in most cases, about analyzing high frequency, high resolution shut-in data. The data are captured during dedicated well test operations such as DSTs or production tests or during routine operational shut-ins by Permanent Downhole Gauges (PDG). The pressure response from these shut-ins can be used to provide information about the reservoir within the radius of investigation for radial flow or the area of investigation for more complex geometries. The diagnostic plot of choice is the loglog plot where the pressure and the Bourdet derivative allow the identification of reservoir geometry and properties, these are then matched with models. Specific operations require specific processing, such as multirate gas tests, interference tests, multilayer tests, etc. The development of deconvolution allows to combine several of these shut-ins in time to provide information much deeper into the reservoir than would normally be feasible by a shut-in alone."	Reservoir Engineering	RESERVOIR
UNIDOC [PLANTSUITE UNIDOC]	HQ	UNIDOC database contains Key Documents from developing studies and projects. The UNIDOC Key Documents available in the database	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
MyNotif [MYNOTIF]	HQ	"#MyNotif enables to initiate a maintenance notification directly on the field, and easily send it to SAP.
Notification creation is time consuming, from on-site data collection (equipment Functional Location and Picture) till typing them in SAP.
- Collection of the right information from site during the notification creation helps in the preparation of the intervention (ex: the height, the need for scaffolding, the requirement for isolation, etc.)."	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
MyForms [MYFORMS]	HQ	Digitalize site forms	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Digiref [DIGIREF]	HQ		Knowledge & Documents	SPECIALTIES & KNOWLEDGE
T-REX [T-REX]	HQ		Knowledge & Documents	SPECIALTIES & KNOWLEDGE
PlantSuite Server [PLANTSUITE SERVER]	HQ		Knowledge & Documents	SPECIALTIES & KNOWLEDGE
DEROG [DEROG]	HQ		Knowledge & Documents	SPECIALTIES & KNOWLEDGE
QUESTOR [QUESTOR]	HQ	"Onshore and Offshore Technico-Economic Estimation Software.
Questor is developed, maintained and promoted  by IHS (Information
Handling Services) Markit. It is a tool which produce high level estimates of surface CAPEX."	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Sciforma [SCIFORMA EPRH]	HQ	Sciforma improve visibility of planning and resources assignments for a better anticipation and overall coordination.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
NewPRODOM [NEWPRODOM]	HQ	NewPRODOM (New PRoject and Operations DOcument Management solution) is the Electronic Document Management System solution to manage documentation in Project and Field Operations phases from/to Contractors, Partners, and Affiliate.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Unik [UNIK]	HQ	"UNIfied Knowledge to evoluate data projects in oil development structures :
Project and development key documents data base

UNIK:
- is a cross-functional database between DSO, TGP (Total Global Procurement) and project entities.
- is developed by PJC/PCS/PRI and used by DSO, TGP and project entities.
- has been designed to archive all Key Data from the retained concept to handover to Operations by: o Providing the key information from the retained concept to the handover to operations.
o Capitalizing data covering cost, quantities, design capacities, risks, contracts and schedule.
o Providing data for benchmarks for surface facilities."	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
FieldBook [HERITAGE]	HQ	"Objectives are to promote collective learning and individual efficiency by:
- Easing access and use of existing internal and external information
- Promoting capitalization and sharing of high level information and knowledge"	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Project Quantum [QUANTUM - ONE.MODEL]	HQ	The quantum program permits to compile diagrams, plans, guides &amp; manuals, technical standards, certificates, manufacturer's data, SAP data, contractor data, maintenance sheets, etc. and make them directly accessible from a 3D model of the asset. This digital twin of the site can be used by field operations, maintenance teams, project teams and technologists alike.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Primavera [PRIMAVERA EP]	HQ	Primavera is an enterprise project portfolio management software. It includes project management, product management, collaboration and control capabilities, and integrates with other enterprise software such as Oracle and SAP&rsquo;s ERP systems.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
eSearch [ESEARCH]	HQ	Documentation Management.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Project Quantum [QUANTUM - ONE.MODEL]	Denmark	The quantum program permits to compile diagrams, plans, guides &amp; manuals, technical standards, certificates, manufacturer's data, SAP data, contractor data, maintenance sheets, etc. and make them directly accessible from a 3D model of the asset. This digital twin of the site can be used by field operations, maintenance teams, project teams and technologists alike.	Knowledge & Documents	SPECIALTIES & KNOWLEDGE
Wellmap [WELLMAP]	HQ		Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
PressureDB [PRESSURE DB]	HQ	Database for WFT pressure data, initial reservoir pressures from DST, interpreted Leak Off Test (LOT) or Pressure Integrity Test (PIT). It provides map based and text search engines, data preview with plotting and quick look analysis, and data export options.	Well Testing & Monitoring	WELL DESIGN & WELL OPERATIONS
ADEPT [T-DESK]	HQ	DESIGNING WELL TRAJECTORIES AND ARCHITECTURES FOR DRILLING ENGINEERS	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
DRILLX Smart Operations [DRILLX SMART OPERATIONS]	HQ	Deployed and utilized on all our drilling rigs, the DrillX tools further help to prevent the risks associated with our operations, which have the potential to cause major industrial disasters. An unidentified and uncontrolled influx of reservoir fluid during drilling may lead to a blowout. The DrillX artificial intelligence algorithms learn from previous well incidents data in order to predict any increase in the risk of occurrence of these events, with the ultimate objective of preventing them, rather than solving them after the event has occurred.	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
H-Well (Total CDS) [H-WELL - POWER HUB]	HQ	Application gathering master data of wells (wells with its wellbores) owned by Total	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
T-Desk [T-DESK]	HQ	"Program for the simulation of trajectory design, drilling hydraulics, directional control, casing design, kick control and cementation.
{T-Desk 4.1 intermediate}"	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
WellView [WELLVIEW]	HQ	"Database for well operations (mainly drilling and completion) aiming to plan and report activities
Wellview Saas"	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
Well Data Reporting [WELL DATA REPORTING]	HQ	WDR Application : for Headquarters and Affiliates exploration users, this application is used to store daily documents and data related to the drilling well.	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
WFT DB	HQ	WFT DB application :  Speciality database of Well Formation Test.	Well Testing & Monitoring	WELL DESIGN & WELL OPERATIONS
IHS	HQ	"IHS database. Scouting. Study database.
{ IHS Version ? ;  Reverse  2014.02  }"	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
OpenWorks [OPENWORKS]	HQ	"Openworks: Study database for reservoir characterisation. Vendor: Landmark
Geoframe: Study database for reservoir characterisation. Vendor: Schlumberger"	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
Gadama [GADAMA]	HQ	Gadama database: Affiliates well generalities. well data and miscellaneous. Corporate database.	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
Gravitas [GRAVITAS]	HQ	Gravitas application. Well geological data acquired during drilling (mudlog, drilling data, lythology,&hellip;.). Speciality database.	Well Drilling & Completion	WELL DESIGN & WELL OPERATIONS
