source;schemaType;group;sparql_server;editable;imports;topClassFilter;taxonomyPredicates;
CFIHOS_READI-ECCENCA;NONE;;{"url":"https://totquantum.eccenca.dev/dataplatform/proxy/default/sparql","method":"GET","headers":{"Authorization":"Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICI5UmhXQ01QbjZnaXBNRHBzWkVxcm5SVk9wNjhfVTN6SzZmYzVrQlFRV0lZIn0.eyJleHAiOjE2Mjc0OTI2NDUsImlhdCI6MTYyNzQ2Mzg0NSwiYXV0aF90aW1lIjoxNjI3NDYzODQ1LCJqdGkiOiJhOTY1NGI5My03NDBjLTQxMjAtYjhkZi1hN2E2NzRlMTM1OWIiLCJpc3MiOiJodHRwczovL3RvdHF1YW50dW0uZWNjZW5jYS5kZXYvYXV0aC9yZWFsbXMvY21lbSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0MWQ5MjAwYy00Njc2LTQyZjQtYWU0OC1mNDA3YmQ1ZGIxZDgiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJkYXRhbWFuYWdlciIsInNlc3Npb25fc3RhdGUiOiIwMzE1ZjI2MS0zMmE0LTQ3ODEtYjE1My0wZDdmZTAxNGNmOGYiLCJhY3IiOiIxIiwicmVhbG1fYWNjZXNzIjp7InJvbGVzIjpbIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwiLCJlbWFpbF92ZXJpZmllZCI6ZmFsc2UsImdyb3VwcyI6WyJlbGRzLWFkbWlucyIsImdyb3VwX3VzZXIiLCJncm91cF91c2VyX2IiLCJsb2NhbC1hZG1pbnMiXSwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWRtaW4ifQ.d74wNUME0an9Zbys67HcJ20_T5N6pCyyMQwyLzgMxb0kjUJ_3y1IoyK5ngI-4IE3DjVkQhnsrNzkm5AmCYHVyAcJUsnwEBjWXhupjh5RpjdHdjUkhd9SsjenbYUGIRjTaZRnsL6O3R90Iwc8SOcaNFgUOXkhc7ro8wVrlWpJjH5vJ7H5VcPVlKSZbVGYnDYS56rHo5FaN164tOjWylz8Yvt35xs7YUwsYdcJ-zgjhfIvpb2o5jeZoSxDyJFQp9QIUUf1v5MWvyNZwsR9_ISXw2VRpezbASOFoYVBAkUjGPMcDx0XrEk20KoWSaMdzvHQNg1joLNAduvhTCze1Ez_Tw","Connection":"keep-alive","content-type":"application/base64"}};;;?x rdfs:subClassOf ?topConcept filter(regex(str(?topConcept),'iso','i')) filter(not exists{?topConcept rdfs:subClassOf ?z});;
ECCENCA_VALVES_FUNCTIONAL;NONE;;{"url":"https://totquantum.eccenca.dev/dataplatform/proxy/default/sparql","method":"GET","headers":{"Authorization":"Bearer eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICI5UmhXQ01QbjZnaXBNRHBzWkVxcm5SVk9wNjhfVTN6SzZmYzVrQlFRV0lZIn0.eyJleHAiOjE2Mjc0OTI2NDUsImlhdCI6MTYyNzQ2Mzg0NSwiYXV0aF90aW1lIjoxNjI3NDYzODQ1LCJqdGkiOiJhOTY1NGI5My03NDBjLTQxMjAtYjhkZi1hN2E2NzRlMTM1OWIiLCJpc3MiOiJodHRwczovL3RvdHF1YW50dW0uZWNjZW5jYS5kZXYvYXV0aC9yZWFsbXMvY21lbSIsImF1ZCI6ImFjY291bnQiLCJzdWIiOiI0MWQ5MjAwYy00Njc2LTQyZjQtYWU0OC1mNDA3YmQ1ZGIxZDgiLCJ0eXAiOiJCZWFyZXIiLCJhenAiOiJkYXRhbWFuYWdlciIsInNlc3Npb25fc3RhdGUiOiIwMzE1ZjI2MS0zMmE0LTQ3ODEtYjE1My0wZDdmZTAxNGNmOGYiLCJhY3IiOiIxIiwicmVhbG1fYWNjZXNzIjp7InJvbGVzIjpbIm9mZmxpbmVfYWNjZXNzIiwidW1hX2F1dGhvcml6YXRpb24iXX0sInJlc291cmNlX2FjY2VzcyI6eyJhY2NvdW50Ijp7InJvbGVzIjpbIm1hbmFnZS1hY2NvdW50IiwibWFuYWdlLWFjY291bnQtbGlua3MiLCJ2aWV3LXByb2ZpbGUiXX19LCJzY29wZSI6InByb2ZpbGUgZW1haWwiLCJlbWFpbF92ZXJpZmllZCI6ZmFsc2UsImdyb3VwcyI6WyJlbGRzLWFkbWlucyIsImdyb3VwX3VzZXIiLCJncm91cF91c2VyX2IiLCJsb2NhbC1hZG1pbnMiXSwicHJlZmVycmVkX3VzZXJuYW1lIjoiYWRtaW4ifQ.d74wNUME0an9Zbys67HcJ20_T5N6pCyyMQwyLzgMxb0kjUJ_3y1IoyK5ngI-4IE3DjVkQhnsrNzkm5AmCYHVyAcJUsnwEBjWXhupjh5RpjdHdjUkhd9SsjenbYUGIRjTaZRnsL6O3R90Iwc8SOcaNFgUOXkhc7ro8wVrlWpJjH5vJ7H5VcPVlKSZbVGYnDYS56rHo5FaN164tOjWylz8Yvt35xs7YUwsYdcJ-zgjhfIvpb2o5jeZoSxDyJFQp9QIUUf1v5MWvyNZwsR9_ISXw2VRpezbASOFoYVBAkUjGPMcDx0XrEk20KoWSaMdzvHQNg1joLNAduvhTCze1Ez_Tw","Connection":"keep-alive","content-type":"application/base64"}};;;?x rdfs:subClassOf ?topConcept filter(regex(str(?topConcept),'iso','i')) filter(not exists{?topConcept rdfs:subClassOf ?z});;
TEPDK_ECCENCA_PHYSICAL;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;;;
TEPDK_ECCENCA_DICTIONARY;SKOSXXX;;{"url":"_default"};;;;;
TEPDK_Phusion;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
TEPDK_FL;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
_training;KNOWLEDGE_GRAPH_XX;;{"url":"_default"};;;?topConcept rdfs:subClassOf <http://w3id.org/readi/rdl/CFIHOS-30000168>;;
PCA_PLM_CORE;OWL;STANDARDS/LIFE CYCLE;{"url":"_default"};true;["ISO_15926-part-14_PCA"];?topConcept rdfs:subClassOf  ?x filter(regex(str(?x), "http://rds.posccaesar.org/ontology/lis14/rdl/"));;
PCA_demo_;OWL;DEMOS/PCA;{"url":"_default"};true;["ISO_15926-part-14_PCA"];?topConcept rdfs:subClassOf  ?x filter(regex(str(?x), "http://rds.posccaesar.org/ontology/lis14/rdl/"));;
EVOLEN_demo;KNOWLEDGE_GRAPH;DEMOS/EVOLEN;{"url":"_default"};true;[];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;["http://www.w3.org/2000/01/rdf-schema#subClassOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/partOf","http://rds.posccaesar.org/ontology/lis14/ont/core/1.0/assembledPartOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type"];
UNIK;OWL;TSF;{"url":"_default"};true;[];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;[];
TSF-BUSINESS-OBJECTS;OWL;TSF;{"url":"_default"};true;["ISO_15926-part-14_PCA"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;[];
TSF-BUSINESS-OBJECTS-DRILLX;OWL;TSF;{"url":"_default"};true;["ISO_15926-part-14_PCA","TSF-BUSINESS-OBJECTS"];?topConcept rdf:type <http://souslesens.org/resource/vocabulary/TopConcept>;[];
