line	table	item	code	propId	Name	Description	type	physicalQuantity	ListId	UnitCodeList	Priority	
482	112	 Nozzles	NO	1042	Connection size	Specify	PQ	length		Millimetres (inches)	High	
184	55	 Cranes	CR	1043	Constant tension	Installed or not	Bool			Yes/No	Low	
265	71	 Winches	WI	1044	Constant tensioning system	As applicable	Bool			Yes/No	Low	
528	123	 trees	XT	1045	Control principle	Defines the control principle for X-mas tree functions and actuators					Low	
699	146	(TR-SCSSV	TR-SCSSV	1045	Control principle		List		1095	HydraulicHydraulic with nitrogen charge as add-on power sourceHydraulic with balance line for deep settingElectromagnetic with downhole power sourceSolenoid-operated with electric cableOtherUnknown	Medium	
733	149	DHSV/WR-SCSSV	WR-SCSSV	1045	Control principle		List		1095	HydraulicHydraulic with nitrogen charge as add-on power sourceHydraulic with balance line for deep settingElectromagnetic with downhole power sourceSolenoid-operated with electric cableOtherUnknown	Medium	
794	157	Surface wellhead and X-mas trees	XD	1045	Control principle	Defines the control principle for X-mas tree (valve) functions and actuators				Note 1	High	
383	93	 converters	FC	1046	Converter type	Describes whether the rectifier provides power back into the supply system	List		1131	One, two or four quadrant	Medium	
327	83	 UPS	UP	1047	Cooling method	Specify	List		1171	Water, air, others	Medium	
389	94	 converters	FC	1048	Cooling system design	What cooling mechanisms are used for the VSDS, transformers, braking resistors and enclosures	List		1102	Liquid cooling, air forced cooling. (Indicate most dominant since there in practice often is a combination of the two)	High	
374	93	 converters	FC	1049	Corresponding driven unit	Equipment unit (electric motor) which the Frequency Converter is connected to				Tag	Medium	
558	127	 Risers	PR	1050	Corrosion inhibitor		Bool			Yes/no	Low	
39	33	 Compressors	CO	1051	Coupling	Type	List		1071	Fixed, flexible, hydraulic, disconnect	Low	
49	36	 generators	EG	1051	Coupling	Specify (fixed, flexible, etc.)	List		1071	Fixed, flexible, hydraulic, disconnect	Low	
116	45	 Pumps	PU	1051	Coupling	Coupling	List		1072	Fixed, flexible, hydraulic, magnetic, disconnect	Low	
260	71	 Winches	WI	1051	Coupling	Type	List		1049	Disconnect, fixed, flexible, hydraulic	Low	
8	29	 engines	CE	1052	Cylinder configuration	Type	List		1099	Inline, vee, flat	Low	
41	33	 Compressors	CO	1052	Cylinder configuration		List		1098	Inline, opposed, V, W	Low	
42	33	 Compressors	CO	1053	Cylinder orientation		List		1091	Horizontal, vertical, inclined	Low	
57	36	 generators	EG	1054	Degree of protection	Protection class in accordance with IEC 60529				IP	Low	
80	39	 motors	EM	1054	Degree of protection	Protection class in accordance with IEC 60529				Specify	Medium	
325	83	 UPS	UP	1054	Degree of protection	Protection class in accordance with IEC 60529				IP code	Medium	
349	87	 transformers	PT	1054	Degree of protection	Protection class in accordance with IEC 60529				Code as in IEC 60529:2001, Clause 4	Low	
368	90	 Switchgear	SG	1054	Degree of protection	Environmental protection for the cabinet				IP rating	Low	
90	42	 turbines	ST	1055	De-rating	Specify if permanently de-rated or not	Bool			Yes/No	Medium	
755	153	Electrical submersible pumps	ESP	1056	Design performance curve	Mechanical gas separator				Performance Curve	Low	
750	153	Electrical submersible pumps	ESP	1057	Design performance curves - water only	Pump and gas handler				Pump curve	Low	
239	68	 Piping	PI	1058	Design pressure	Max. allowable pressure	PQ	pressure		Pascal (bar)	High	
287	77	 Swivels	SW	1058	Design pressure		PQ	pressure		Pascal (bar)	Medium	
302	80	 tanks	TA	1058	Design pressure	Maximum positive gauge pressure	PQ	pressure		Pascal (bar)	High	
521	122	 trees	XT	1058	Design pressure	Pressure rating of wellhead and X-mas tree	PQ	pressure		Pascal (bar)	High	
618	136	 vessels	SV	1058	Design pressure	Specify	PQ	pressure		Pascal (bar)	High	
782	156	Surface wellhead and X-mas trees	XD	1058	Design pressure	Pressure rating of wellhead and X-mas tree	PQ	pressure		Pascal (bar)	High	
301	80	 tanks	TA	1059	Design standard	Design standard	List		1155	Standard / edition / addendum	Medium	
288	77	 Swivels	SW	1060	Design temperature		PQ	temperature		Degrees Celsius	Low	
619	136	 vessels	SV	1060	Design temperature	Specify	PQ	temperature		Degrees Celsius	High	
622	136	 vessels	SV	1061	Design throughput	Specify	PQ	volume flow rate		Sm3/d	Medium	
303	80	 tanks	TA	1062	Design vacuum	Maximum partial vacuum	PQ	pressure		Pascal (bar)	High	
400	97	 detectors	FG	1063	Detector communication	Type	List		1044	Conventional, addressable (one-way), smart (two-way)	Medium	
421	101	 devices	IP	1063	Detector communication	Type	List		1044	Conventional, addressable (one-way), smart (two-way)	Medium	
236	68	 Piping	PI	1064	Diameter	Outer diameter	PQ	length		Millimetres	High	
775	153	Electrical submersible pumps	ESP	1065	Differential pressure performance	Pothead	PQ	pressure		Psi	High	
838	167	 (BOP)	BO	1066	Dimension	Specify (inner diameter)	PQ	length		Millimetres (inches)	Medium	
868	170	 (BOP)	BO	1066	Dimension	Specify (inner diameter)	PQ	length		Millimetres (inches)	Medium	
21	32	 Compressors	CO	1067	Discharge pressure	Design - last stage	PQ	pressure		Pascal (bar)	High	
22	32	 Compressors	CO	1067	Discharge pressure	Operating - last stage	PQ	pressure		Pascal (bar)	Medium	
109	45	 Pumps	PU	1068	Discharge pressure - design	Design pressure	PQ	pressure		Pascal (bar)	High	
581	130	 pumps	SP	1068	Discharge pressure - design		PQ	pressure		Pascal (barg.)	High	
25	32	 Compressors	CO	1069	Discharge temperature	Design	PQ	temperature		Degrees Celsius	Medium	
26	32	 Compressors	CO	1069	Discharge temperature	Operating	PQ	temperature		Degrees Celsius	Low	
477	112	 Nozzles	NO	1069	Discharge temperature	At operating condition	PQ	temperature		Degrees Celsius	Low	
3	29	 engines	CE	1070	Driven unit	Driven unit (equipment class, type and identification code)				Specify	High	
127	48	 turbines	ST	1070	Driven unit	Equipment class, type and identification code	List		1040	Compressor, crane, generator, pump, winch, etc.	High	
255	71	 Winches	WI	1071	Drum capacity	Max. drum capacity	PQ	length		Metres	Low	
256	71	 Winches	WI	1072	Drum diameter		PQ	length		Metres	Low	
677	144	(TR-SCSSV	TR-SCSSV	1073	Effective length	Length occupied by the item in the string, exclusive of pin/box	PQ	length		Metres	High	
348	87	 transformers	PT	1074	Efficiency	Efficiency factor (?À)	Number			Number = 1	Medium	
899	174	 intervention)	WC	1075	Elastomer type	Specify elastomer type for equipment with dynamic and static sealing elements.				Text	High	
292	77	 Swivels	SW	1076	Electric power	Power swivels only	PQ	power		Kilowatt	Medium	
808	162	 drives	TD	1077	Electrical supply requirements (applicable for electric drives only)	Voltage	PQ	electrical tension / voltage		Volt	High	
809	162	 drives	TD	1077	Electrical supply requirements (applicable for electric drives only)	Current	PQ	electrical current / amperage		Ampere	High	
829	163	 drives	TD	1078	Elevator link hanger capacity	Capacity	PQ	mass		Kilogram	High	
628	136	 vessels	SV	1079	Emulsions	Specify	Bool			Yes/No	Low	
289	77	 Swivels	SW	1080	Enclosure	Type of enclosure	List		1036	Closed compartment, naturally ventilated	Medium	
206	61	 boilers	HB	1081	Energy source	Type of heating energy	List		1062	Electricity, exhaust gas, fuel gas, hot oil, liquid fuel, steam	High	
13	29	 engines	CE	1082	Engine- aspiration type	Type of engine aspiration	List		1168	Turbo, natural	Medium	
117	45	 Pumps	PU	1083	Environment	Submerged or dry-mounted					Medium	
397	97	 detectors	FG	1083	Environment	Exposure	List		1147	Severe, moderate, low, unknown a	High	
404	97	 detectors	FG	1084	Environment classification:     Severe not enclosed and/or outdoor							
685	145	(TR-SCSSV	TR-SCSSV	1085	Equalizing feature		List		1173	With equalizing featureWithout equalizing featureUnknown	Low	
717	148	 DHSV/WRSCSSV	WR-SCSSV	1085	Equalizing feature		List		1173	With equalizing featureWithout equalizing featureUnknown	Low	
611	136	 vessels	SV	1086	Equipment application	Where used	List		1119	Oil processing, Condensate processing, Gas (re-)injection Gas processing, Gas treatment, Water (re-)injection, Liquid/gas separation, Liquid/Gas/Solid separation	High	
740	152	Electrical submersible pumps	ESP	1087	ESP Application	Type of application	List		1132	Onshore wellTopsides well (dry tree completion)Subsea well (subsea well completion)Seafloor (Caisson)Horizontal pump system (HPS)	High	
55	36	 generators	EG	1088	Excitation control	Type	List		1011	Automatic, manual	Medium	
56	36	 generators	EG	1089	Excitation type	Brushless/slip-ring	List		1027	Brushless, slip-ring	Medium	
475	112	 Nozzles	NO	1090	F luid handled - nozzles	Main fluid only	List		1137	Potable water, sea water, Inergen, CO2	Medium	
458	109	 Valves	VA	1091	Fail-safe principle pilot valve	Fail-safe principle	List		1065	Energized, de-energized	Low	
460	109	 Valves	VA	1092	Fail-safe principle solenoid valve	Fail-safe principle	List		1065	Energized, de-energized	Low	
420	101	 devices	IP	1093	Fault tolerance	Response at failure	Bool			Yes/No	High	
431	104	 units	CL	1093	Fault tolerance	Response at failure	Bool			Yes/No	High	
401	97	 detectors	FG	1094	Fault tolerance b	Response at failure	Bool			Yes/No	Medium	
23	32	 Compressors	CO	1095	Flow rate	Design	PQ	volume flow rate		Metres cubed per hour	High	
24	32	 Compressors	CO	1095	Flow rate	Operating	PQ	volume flow rate		Metres cubed per hour	Low	
479	112	 Nozzles	NO	1095	Flow rate	Specify	PQ	volume flow rate		Litres per minute	Medium	
819	162	 drives	TD	1096	Flow utilities	Hydraulic flow	PQ	volume flow rate		Litres per minute	Low	
820	162	 drives	TD	1096	Flow utilities	Air flow	PQ	volume flow rate		Litres per minute	Low	
152	51	 expanders	TE	1097	Flow-control turbine	Type	List		1169	Variable nozzles, nozzle-group valves, throttle valve, fixed inlet	Low	
442	108	 Valves	VA	1098	Flowing pressure	Normal operating pressure (inlet)	PQ	pressure		Pascal (bar)	Medium	
478	112	 Nozzles	NO	1098	Flowing pressure	Specify	PQ	pressure		Pascal (bar)	Medium	
568	127	 Risers	PR	1099	Fluid conducted	Main fluid only: oil, gas, condensate, injection water	List		1126	Oil, gas, condensate, injection water, oil and gas, gas and condensate, oil/gas/ water, CO2, gas and water, produced water	High	
641	139	 pipelines	SL	1099	Fluid conducted	-	List		1128	Oil, gas, condensate, oil and gas, gas and condensate, oil/gas/water, CO2	High	
103	45	 Pumps	PU	1100	Fluid corrosive/erosive	Classify as shown in footnote a	List		1019	Benign, moderate, severe	Medium	
241	68	 Piping	PI	1100	Fluid corrosive/erosive	Classify as shown in the footnote a	List		1019	Benign, moderate, severe	Medium	
535	123	 trees	XT	1101	Fluid corrosiveness	Classify as shown in the footnote a	List		1111	Neutral, sweet, sour	High	
569	127	 Risers	PR	1101	Fluid corrosiveness	Classify as shown in footnote a	List		1111	Neutral, sweet, sour	High	
593	130	 pumps	SP	1101	Fluid corrosiveness	Classify as shown in footnote a	List		1111	Neutral, sweet, sour	High	
614	136	 vessels	SV	1101	Fluid corrosiveness	Classify as shown	List		1111	Neutral, Sweet, Sour	High	
649	140	 pipelines	SL	1101	Fluid corrosiveness	Classify	List		1035	CleanBenignModerateSevere	High	
741	152	Electrical submersible pumps	ESP	1101	Fluid corrosiveness	Neutral, Sweet, Sour				Specify	High	
795	157	Surface wellhead and X-mas trees	XD	1101	Fluid corrosiveness	Fluid corrosiveness	List		1018	Benign, clean, moderate, severe, unknown	Medium	
441	108	 Valves	VA	1102	Fluid corrosiveness/ erosiveness	Classify as shown in the footnote a	List		1019	Benign, moderate, severe	Medium	
476	112	 Nozzles	NO	1102	Fluid corrosiveness/ erosiveness	Classify as shown in the footnote a	List		1019	Benign, moderate, severe	Medium	
536	123	 trees	XT	1103	Fluid erosiveness	Erosiveness of the well fluid	List		1018	Benign, clean, moderate, severe, unknown	Medium	
613	136	 vessels	SV	1103	Fluid erosiveness	Classify as shown	List		1034	Clean, benign , moderate, severe	High	
650	140	 pipelines	SL	1103	Fluid erosiveness	Classify	List		1035	CleanBenignModerateSevere	Medium	
796	157	Surface wellhead and X-mas trees	XD	1103	Fluid erosiveness	Erosiveness of the well fluid	List		1018	Benign, clean, moderate, severe, unknown	Medium	
902	174	 intervention)	WC	1104	Fluid exposure	Main fluids only	List		1120	Oil, gas, condensate, brine, CO2, H2S	High	
102	45	 Pumps	PU	1105	Fluid handled	Type	List		1123	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, fuel gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon-combined, gas/oil, gas/condensate, oil/water, gas/ oil/water, LNG, drilling mud, drilling cement, other	High	
240	68	 Piping	PI	1105	Fluid handled	Type	List		1124	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, fuel gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon-combined, gas/oil, gas/condensate, oil/water, gas/oil/water	High	
439	108	 Valves	VA	1105	Fluid handled	Main fluid only	List		1121	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, fuel gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon combined, gas/oil, gas/condensate, oil/water, gas/ oil/water, NGL, LPG, LNG, slurry, etc.	High	
592	130	 pumps	SP	1105	Fluid handled	Main fluid only: oil, gas, condensate, injection water	List		1127	Oil, gas, condensate, injection water, oil and gas, gas and condensate, oil/gas/water, CO2, gas and water, produced water, cooling medium	High	
742	152	Electrical submersible pumps	ESP	1105	Fluid handled	Main fluid only: oil, gas, condensate, injection water	List		1126	Oil, gas, condensate, injection water, oil and gas, gas and condensate, oil/gas/ water, CO2, gas and water, produced water	High	
793	157	Surface wellhead and X-mas trees	XD	1106	Fluid produced / injected	Fluid produced / injected	List		1006	Air, chemicals, condensate, crude oil, flare gas, freshwater, fuel gas, gas, gas+condensate, gas+oil, gas+oil+water, combined hydrocarbons, methanol, nitrogen, oil, oil+water, oily water, sea water, treaded sea water, steam, unknown, water/glycol	High	
534	123	 trees	XT	1107	Fluid produced/injected	Main fluid only: oil, gas, condensate, injection water	List		1126	Oil, gas, condensate, injection water, oil and gas, gas and condensate, oil/gas/ water, CO2, gas and water, produced water	High	
440	108	 Valves	VA	1108	Fluid temperature	Operating temperature main fluid	PQ	temperature		Degrees Celsius	Medium	
481	112	 Nozzles	NO	1108	Fluid temperature	Specify	PQ	temperature		Degrees Celsius	Low	
274	74	 Turrets	TU	1109	Fluid transmission	Fluid-transfer method	List		1052	Dragged chain, jumper, swivel	High	
222	65	 vessels	VE	1110	Fluid(s)	Main fluid	List		1122	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, fuel gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon combined, gas/oil, gas/condensate, oil/water, gas/oil/water	High	
615	136	 vessels	SV	1110	Fluid(s)	Main fluid	List		1084	Gas/oil/water, gas/oil, gas/condensate, oil/water, oily water, water/glycol, methanol, chemicals	High	
190	58	 exchangers	HE	1111	Fluid, cold side	Fluid type	List		1125	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon, air	High	
189	58	 exchangers	HE	1112	Fluid, hot side	Fluid type	List		1125	Oil, gas, condensate, freshwater, steam, sea water, crude oil, oily water, flare gas, water/glycol, methanol, nitrogen, chemicals, hydrocarbon, air	High	
411	101	 devices	IP	1113	Fluid/gas corrosiveness/ erosiveness	Classify as explained in footnote a	List		1019	Benign, moderate, severe	Medium	
498	115	 Lifeboats	LB	1114	Free-fall lifeboat installation height	Height above sea level	PQ	length		M	High	
51	36	 generators	EG	1115	Frequency	Design frequency	PQ	frequency		Hertz	Low	
342	87	 transformers	PT	1115	Frequency	Rated frequency	PQ	frequency		Hertz	Low	
320	83	 UPS	UP	1116	Frequency variation	Input frequency	Number			Percent	Low	
11	29	 engines	CE	1117	Fuel	Type	List		1082	Gas, light oil, medium oil, heavy oil, dual	Low	
95	42	 turbines	ST	1117	Fuel	Fuel type	List		1083	Gas, oil-light, oil-medium, oil-heavy, dual	Medium	
134	48	 turbines	ST	1117	Fuel	Fuel type	List		1083	Gas, oil-light, oil-medium, oil-heavy, dual	Medium	
395	97	 detectors	FG	1118	Functional characteristics							
408	101	 devices	IP	1118	Functional characteristics							
147	51	 expanders	TE	1119	Gas corrosiveness/ erosiveness	Specify as shown in the footnote a	List		1019	Benign, moderate, severe	Medium	
18	32	 Compressors	CO	1120	Gas handled	Average molar mass  (specific gravity ?ù 28,96)	PQ	density		Grams per mole	Medium	
146	51	 expanders	TE	1120	Gas handled	A v e r a g e m o l a r m a s s (specific gravity ?ù 28,96)	PQ	density		Grams per mole	Low	
561	127	 Risers	PR	1121	Gas lift	If installed or not	Bool			Yes/no	Low	
65	36	 generators	EG	1122	Generator cooling	Type	List		1007	Air/air, air/water, open ventilated	Low	
369	90	 Switchgear	SG	1123	Hazardous area rating	EEX hazardous area rating according to IEC 60079				Specify	Medium	
390	94	 converters	FC	1123	Hazardous area rating	EEX Hazardous area rating in according with IEC 60079				Specify	High	
469	112	 Nozzles	NO	1124	Hazards protection	Type of protection	List		1060	Electrical, Ex, fuel oil, glycol, HC gas, hydrogen gas, lubricants, methanol, combustibles, radioactivity, toxic gas, toxic liquid	High	
207	61	 boilers	HB	1125	Heated/boiled medium	Type of fluid being heated/boiled	List		1109	MEG, TEG, HC-based heating medium, water, water/TEG	High	
217	61	 boilers	HB	1126	Heater type	Direct-fired only	List		1025	Box, cabin, cylindrical	Low	
648	140	 pipelines	SL	1127	Heating system	-	Bool			Yes/No	High	
192	58	 exchangers	HE	1128	Heat-transfer area		PQ	surface		Metres squared	Medium	
178	54	 Cranes	CR	1129	Heave compensation system	Installed or not	Bool			Yes/No	Low	
266	71	 Winches	WI	1129	Heave compensation system	As applicable	Bool			Yes/No	Low	
173	54	 Cranes	CR	1130	Hoist speed 1	At max. load	PQ	speed		Metres per second	Medium	
174	54	 Cranes	CR	1131	Hoist speed 2	At no load	PQ	speed		Metres per second	Low	
907	180	 fixation	JF	1132	Holding capacity survival	Survival holding capacity	PQ	weight		Tonnes	Medium	
761	153	Electrical submersible pumps	ESP	1133	Horsepower requirement	Seal chamber section	PQ	power		HP	High	
753	153	Electrical submersible pumps	ESP	1134	Housing pressure rating	Pump and gas handler	PQ	pressure		Psi	High	
543	123	 trees	XT	1135	Hydrate formation	Specify	Bool			Yes/no	Low	
573	127	 Risers	PR	1135	Hydrate formation	Specify	Bool			Yes/no	Low	
629	136	 vessels	SV	1135	Hydrate formation	Specify	Bool			Yes/No	Low	
166	54	 Cranes	CR	1136	Hydraulic operating medium	Hydraulic fluid type	List		1129	Oil-based, synthetic-based, water-based	Low	
167	54	 Cranes	CR	1137	Hydraulic operating pressure	Specify	PQ	pressure		Pascal (bar)	Low	
805	162	 drives	TD	1138	Hydraulic power requirements (applicable for hydraulic drives only)	Pressure	PQ	pressure		Pascal (bar)	High	
806	162	 drives	TD	1138	Hydraulic power requirements (applicable for hydraulic drives only)	Flow rate	PQ	volume flow rate		Litres per minute	High	
10	29	 engines	CE	1139	Ignition system	Otto, diesel	List		1038	Compression ignition (diesel), spark plugs	Medium	
384	93	 converters	FC	1140	Incoming transformer connections	Describes the input connection, whether a transformer is used and its design intent	List		1158	Step up, step down, isolating, phase shifting	Medium	
391	94	 converters	FC	1141	Ingress protection rating	Ingress protection rating in according with IEC 60529				Specify	Medium	
143	51	 expanders	TE	1142	Inlet flow	Design inlet flow, turbine	PQ	Kilograms per hour		Kilograms per hour	Medium	
145	51	 expanders	TE	1143	Inlet pressure	Design inlet pressure, turbine	PQ	pressure		Pascal (bar)	Medium	
144	51	 expanders	TE	1144	Inlet temperature	Design inlet temperature, turbine	PQ	temperature		Degrees Celsius	Medium	
209	61	 boilers	HB	1144	Inlet temperature	Design value	PQ	temperature		Degrees Celsius	Medium	
317	83	 UPS	UP	1145	Input frequency	Rated input	List		1001	50 Hz or 60 Hz	High	
826	163	 drives	TD	1146	Inside BOP design pressure	Pressure	PQ	pressure		Pascal (bar)	Low	
517	122	 trees	XT	1147	Install/retrieve guide	Guideline/guideline-less, diver-assisted and diver-less lay-away	List		1087	Guideline, guideline-less	High	
474	112	 Nozzles	NO	1148	Installation category	How installed	List		1041	Concealed, horizontal sidewall, pendent, recessed, upright, vertical sidewall	Low	
865	170	 (BOP)	BO	1149	Installation type	Specify	List		1145	Semi-submersible, jack-up, TLP, onshore, other	Medium	
841	167	 (BOP)	BO	1150	Installed location/ recorded water depth	Specify	PQ	length		Foot (metres)	Medium	
871	170	 (BOP)	BO	1150	Installed location/ recorded water depth	Specify	PQ	length		Foot (metres)	Medium	
243	68	 Piping	PI	1151	Insulated	Specify	Bool			Yes/No	Low	
60	36	 generators	EG	1152	Insulation class - rotor	Insulation class in accordance with IEC 60034-1	List		1174	Y, A, E, B, F, H	Medium	
78	39	 motors	EM	1153	Insulation class - rotor a	Insulation class in accordance with IEC 60034-1	List		1174	Y, A, E, B, F, H	Medium	
58	36	 generators	EG	1154	Insulation class - stator	Insulation class in accordance with IEC 60034-1	List		1174	Y, A, E, B, F, H	Medium	
